VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1762434095,      0.7961883184,       4.517549454
      0.1461979993,      0.8536601108,       5.839068351
      0.1384086059,        0.84447866,       6.101345031
      0.1345137153,       0.840899497,       6.251403397
      0.1327331814,       0.841611534,       6.340626549
      0.1318841619,      0.8444610686,       6.403051406
      0.1314350173,      0.8470632307,       6.444730242
      0.1314547056,      0.8497632136,       6.464304262
      0.1318843895,      0.8533639733,       6.470545728
      0.1325445466,      0.8575826132,       6.470146342
      0.1333098311,      0.8619655557,       6.465881389
      0.1340953588,      0.8661885493,       6.459496859
      0.1348608581,      0.8701521136,       6.452221392
      0.1355932133,      0.8737721144,       6.444069677
      0.1362829842,      0.8770179673,        6.43527123
      0.1369643032,      0.8800669434,       6.425520538
      0.1376558816,      0.8830910934,       6.415207856
      0.1383283009,      0.8859261432,       6.404518362
      0.1390065424,      0.8887204493,       6.393371375
      0.1396662325,      0.8914374176,       6.382626651
      0.1402703487,      0.8938882994,       6.372610516
      0.1408125774,      0.8960301477,       6.363282063
      0.1413156116,      0.8979579697,        6.35427296
      0.1418020975,      0.8998056414,       6.345503046
      0.1422939126,      0.9017371933,       6.337145257
      0.1427506883,      0.9035293626,       6.329422109
      0.1431567828,      0.9050533529,       6.322112968
      0.1435788638,      0.9066627758,       6.314737084
      0.1440113041,      0.9083041578,       6.307172646
      0.1444346066,      0.9099114273,       6.299815871
       0.144851011,      0.9114840346,       6.292562462
      0.1452574508,      0.9130370042,       6.285646618
      0.1456426055,      0.9144912985,       6.279009468
      0.1459970688,      0.9157935866,       6.272684747
      0.1463381284,       0.917028113,       6.266501581
      0.1466762656,      0.9182414846,       6.260327673
      0.1470092307,      0.9194462087,       6.254343379
      0.1473377842,      0.9206432988,        6.24852141
      0.1476545064,      0.9217994253,       6.242948137
      0.1479647464,      0.9229333015,       6.237521597
      0.1482759262,      0.9240655209,       6.232067096
      0.1485676491,      0.9250907591,       6.226730817
      0.1488549087,      0.9261007036,       6.221499256
      0.1491323277,      0.9270477741,       6.216276432
      0.1494125173,      0.9279906803,        6.21092996
       0.149696294,      0.9289810394,       6.205771796
       0.149985813,      0.9300473141,       6.200901909
       0.150263935,      0.9310826178,       6.196314623
      0.1505231114,      0.9320414605,       6.192015645
      0.1507839242,      0.9330109948,       6.187735198
      0.1510322821,      0.9339210403,       6.183585572
      0.1512580475,      0.9347278196,        6.17968984
       0.151467996,      0.9354475097,       6.175875661
      0.1516609795,      0.9360633053,        6.17207741
      0.1518420038,      0.9366112676,       6.168327894
      0.1520183145,      0.9371405718,        6.16465572
      0.1521855055,      0.9376369265,       6.161144738
      0.1523570552,      0.9381834935,       6.157794874
      0.1525221774,      0.9387150163,       6.154613266
      0.1526740728,      0.9391882692,       6.151589801
      0.1528099088,      0.9395844203,       6.148713967
      0.1529344876,      0.9399386682,       6.146021628
       0.153055881,      0.9402954649,       6.143478177
      0.1531646476,      0.9406055046,       6.141139745
      0.1532686743,      0.9409075541,        6.13894234
      0.1533724966,      0.9412223954,         6.1368395
      0.1534704749,      0.9415160457,       6.134835032
      0.1535695946,       0.941822918,       6.132873637
      0.1536708943,       0.942157148,       6.131005825
      0.1537628752,      0.9424601504,       6.129308842
      0.1538444611,      0.9427220206,       6.127760555
      0.1539184623,       0.942955167,       6.126329179
      0.1539854124,      0.9431620077,       6.125008812
      0.1540436882,      0.9433323012,       6.123797164
       0.154095655,      0.9434777015,       6.122675565
      0.1541443288,      0.9436151658,       6.121634012
      0.1541874925,      0.9437362294,       6.120705475
      0.1542230767,      0.9438285061,       6.119891563
      0.1542539556,      0.9439037987,       6.119154579
      0.1542808217,      0.9439641859,       6.118480413
      0.1543057689,      0.9440207096,       6.117857528
      0.1543296327,      0.9440787983,       6.117287921
      0.1543510465,      0.9441317953,       6.116782598
      0.1543698625,      0.9441786547,       6.116340583
      0.1543859612,      0.9442173811,        6.11595364
      0.1543996658,      0.9442482001,       6.115610387
      0.1544108634,       0.944269906,       6.115307469
      0.1544201232,      0.9442854078,       6.115041151
      0.1544275575,      0.9442953717,       6.114811287
      0.1544332901,       0.944300331,       6.114616417
      0.1544374238,      0.9443005268,       6.114454021
      0.1544399664,      0.9442958977,       6.114323383
      0.1544413066,      0.9442879549,       6.114218893
       0.154441582,      0.9442769867,       6.114136975
      0.1544409328,      0.9442635622,       6.114075752
       0.154439438,      0.9442479134,       6.114033603
      0.1544371543,      0.9442300528,       6.114008361
       0.154434245,      0.9442106943,       6.113998188
      0.1544308844,      0.9441906656,       6.114001545
      0.1544271724,      0.9441703714,       6.114017092
      0.1544231612,      0.9441499097,       6.114043402
      0.1544188873,      0.9441292595,       6.114078894
      0.1544143869,      0.9441083967,        6.11412198
      0.1544096962,      0.9440873203,        6.11417122
      0.1544048544,      0.9440660849,       6.114225416
      0.1543999078,       0.944044828,       6.114283625
      0.1543949094,      0.9440237594,       6.114345112
      0.1543898684,      0.9440028805,       6.114409517
      0.1543847495,      0.9439819549,       6.114476708
      0.1543796792,      0.9439615622,       6.114545432
      0.1543747028,      0.9439418775,       6.114615027
      0.1543698271,      0.9439228472,       6.114684877
      0.1543650613,      0.9439044527,       6.114754497
      0.1543604262,      0.9438867483,       6.114823413
      0.1543559376,      0.9438697723,       6.114891249
      0.1543515991,      0.9438534995,         6.1149577
      0.1543474074,      0.9438378935,       6.115022658
      0.1543433727,      0.9438229908,       6.115085957
      0.1543395208,      0.9438088995,       6.115147269
      0.1543358493,      0.9437955978,       6.115206558
      0.1543323523,       0.943783038,       6.115263742
      0.1543290253,      0.9437711845,       6.115318767
       0.154325867,      0.9437600216,       6.115371584
       0.154322882,      0.9437495665,       6.115422122
      0.1543200641,      0.9437397802,       6.115470373
       0.154317415,       0.943730668,       6.115516307
      0.1543149312,      0.9437222091,       6.115559927
       0.154312601,      0.9437143367,       6.115601258
      0.1543104188,      0.9437070168,       6.115640307
      0.1543083776,       0.943700212,       6.115677103
      0.1543064632,      0.9436938428,       6.115711702
      0.1543046841,       0.943687966,       6.115744129
      0.1543030346,      0.9436825633,       6.115774493
      0.1543015095,      0.9436776165,       6.115802881
      0.1543001063,      0.9436731214,       6.115829366
      0.1542988199,      0.9436690564,       6.115854011
      0.1542976429,      0.9436653886,       6.115876891
       0.154296569,      0.9436620903,       6.115898082
      0.1542955916,      0.9436591336,       6.115917661
      0.1542947037,      0.9436564872,       6.115935702
      0.1542938988,      0.9436541213,       6.115952277
      0.1542931708,      0.9436520118,        6.11596746
      0.1542925146,      0.9436501386,       6.115981329
      0.1542919254,      0.9436484838,       6.115993958
      0.1542913985,      0.9436470299,       6.116005423
      0.1542909292,      0.9436457602,       6.116015797
      0.1542905131,      0.9436446586,        6.11602515
      0.1542901462,      0.9436437105,       6.116033548
      0.1542898248,      0.9436429028,       6.116041056
      0.1542895451,      0.9436422234,       6.116047738
       0.154289304,      0.9436416613,       6.116053654
      0.1542890981,      0.9436412056,       6.116058863
      0.1542889244,      0.9436408463,       6.116063418
      0.1542887801,      0.9436405738,       6.116067373
      0.1542886625,      0.9436403795,       6.116070776
       0.154288569,      0.9436402552,       6.116073675
      0.1542884974,      0.9436401933,       6.116076113
      0.1542884454,      0.9436401869,       6.116078133
      0.1542884109,      0.9436402294,       6.116079773
