VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.3120222033,      0.8476261353,       2.716557111
      0.2678583603,      0.8716824158,       3.254266228
      0.2574577556,      0.8823513646,       3.427169489
      0.2520746675,      0.8892858904,       3.527866958
      0.2484990784,      0.8924082428,       3.591193371
      0.2465528461,      0.8955410055,       3.632247689
       0.245902622,      0.8998761106,       3.659481559
      0.2459290748,      0.9040538497,       3.676075513
      0.2463571281,      0.9079860187,        3.68564947
      0.2470501549,      0.9119020939,       3.691161798
      0.2478923701,      0.9155163759,       3.693201108
      0.2489108703,      0.9189770427,       3.691992405
      0.2500758947,       0.922276984,       3.687988342
      0.2512777956,      0.9252487621,       3.682174781
      0.2524814514,      0.9278245628,       3.674822676
      0.2537228782,      0.9301980468,       3.666196968
      0.2551163473,       0.932987842,       3.657107245
      0.2567588009,      0.9368387965,       3.648711526
      0.2586671458,      0.9418909924,       3.641324411
      0.2606832714,       0.947397338,       3.634285134
      0.2625048465,       0.952277308,       3.627656102
      0.2633167272,      0.9533804915,        3.62066057
      0.2635793221,      0.9514263726,       3.609639652
       0.263673484,      0.9479955199,       3.595338847
      0.2642971899,      0.9465122722,       3.581242285
      0.2657052235,      0.9486125143,       3.570168858
      0.2675029618,      0.9528392562,       3.561976472
      0.2693138088,      0.9574366655,       3.555096821
      0.2703538872,      0.9591386411,       3.547715371
      0.2710353666,      0.9589591125,        3.53813277
       0.270542905,      0.9539923708,       3.526214708
      0.2705498057,      0.9499946701,       3.511348557
      0.2706390545,      0.9466237514,       3.497735215
      0.2713522023,      0.9458328154,       3.485627931
      0.2725608045,       0.947279351,       3.475478995
      0.2741607343,      0.9507151662,       3.467729136
      0.2757511829,      0.9545759415,       3.461729272
      0.2772335149,       0.958409883,       3.457049135
      0.2781771893,      0.9601906828,       3.451723289
      0.2787659091,      0.9603932595,       3.445160358
      0.2789242032,      0.9587167946,       3.437194705
      0.2791915611,      0.9571886777,       3.428429835
      0.2795842643,      0.9561711824,       3.419974958
      0.2802052292,      0.9560899118,       3.412105886
      0.2811210684,      0.9573115909,       3.405335631
      0.2821965089,      0.9593976277,       3.399750166
      0.2832305232,      0.9614335337,       3.394526561
       0.284315633,      0.9635026135,       3.388848525
      0.2849610907,      0.9639066709,       3.382590474
      0.2852673335,      0.9627489988,       3.374900964
      0.2853696883,      0.9606137959,        3.36620824
      0.2858517052,      0.9599486662,       3.358205142
       0.286685667,      0.9609335401,       3.351871582
      0.2875433572,      0.9622957937,       3.346611109
      0.2883321394,      0.9635075388,       3.341658481
      0.2890510933,      0.9644593576,       3.336639715
      0.2898570293,      0.9657758854,       3.331904311
      0.2908579356,      0.9679369085,       3.327868316
      0.2919652296,      0.9706598066,       3.324573299
      0.2928022161,      0.9724982233,       3.321348575
      0.2934038603,      0.9735341896,       3.318068782
       0.293874041,      0.9740231486,       3.314423911
      0.2944005105,       0.974720754,       3.310866385
      0.2949040271,      0.9754495415,       3.307684711
      0.2953574332,      0.9761081914,       3.304837061
      0.2957461817,      0.9766153157,       3.302207691
      0.2959870518,      0.9766416894,       3.299609505
      0.2961422832,      0.9763769906,       3.296986097
      0.2963633334,      0.9763958244,       3.294590506
      0.2966134468,      0.9765860275,       3.292453657
      0.2968639281,      0.9768501708,       3.290565401
      0.2970724949,       0.977005027,       3.288776457
      0.2972667975,      0.9771398354,       3.287080305
      0.2974373541,      0.9772120303,        3.28543815
      0.2975762263,      0.9772011241,       3.283868258
       0.297699186,      0.9771665031,       3.282395616
      0.2978068827,      0.9771005268,       3.280987054
      0.2978949363,      0.9769835118,       3.279624434
      0.2979665771,      0.9768263294,       3.278308389
      0.2980183269,      0.9766145086,       3.277028359
      0.2980637695,      0.9764000246,       3.275809154
      0.2981236313,      0.9762692567,        3.27471275
      0.2981985414,      0.9762343443,       3.273773036
      0.2982833007,      0.9762773711,       3.272987019
      0.2983701346,      0.9763648938,       3.272327825
      0.2984523937,      0.9764689161,       3.271774449
      0.2985247933,      0.9765611984,       3.271290092
      0.2985845635,      0.9766273615,       3.270856838
      0.2986309286,      0.9766613831,       3.270462935
      0.2986665413,      0.9766733006,        3.27011287
      0.2986919225,      0.9766624846,       3.269798782
      0.2987056542,      0.9766207267,       3.269508672
      0.2987128246,      0.9765680547,        3.26925386
      0.2987159645,      0.9765149568,       3.269041742
      0.2987144443,      0.9764580586,       3.268867901
      0.2987065744,      0.9763888921,       3.268722471
      0.2986923232,      0.9763050535,       3.268597744
      0.2986733183,      0.9762111712,       3.268491396
      0.2986519503,       0.976115859,        3.26840611
      0.2986300945,      0.9760262868,        3.26834537
      0.2986090327,      0.9759472098,       3.268311079
       0.298589524,      0.9758812103,        3.26830358
      0.2985717437,      0.9758282921,       3.268320973
       0.298555344,      0.9757864576,        3.26836038
      0.2985397295,      0.9757527696,       3.268418482
      0.2985245046,      0.9757245065,       3.268490497
      0.2985093212,      0.9756991752,       3.268571887
      0.2984937789,      0.9756747054,       3.268660101
       0.298478293,      0.9756522628,       3.268754498
      0.2984629657,      0.9756318521,       3.268853976
      0.2984477656,      0.9756129538,       3.268957139
      0.2984326312,      0.9755949302,       3.269062523
      0.2984175076,      0.9755771931,       3.269168759
      0.2984024421,      0.9755595568,       3.269274709
      0.2983874719,      0.9755418409,       3.269379357
      0.2983726462,      0.9755239606,       3.269481881
      0.2983580601,      0.9755059729,        3.26958143
      0.2983443061,      0.9754905648,       3.269680516
      0.2983304472,      0.9754735275,         3.2697753
      0.2983169709,      0.9754563719,       3.269865502
      0.2983048511,      0.9754431614,       3.269954068
      0.2982941611,      0.9754344599,       3.270042083
      0.2982845073,      0.9754286909,       3.270128575
      0.2982754102,      0.9754237542,        3.27021176
      0.2982666476,      0.9754185812,        3.27029049
      0.2982582706,      0.9754133212,       3.270364705
      0.2982504347,      0.9754086009,         3.2704348
      0.2982432422,      0.9754048964,        3.27050125
      0.2982367276,      0.9754023877,       3.270564278
        0.29823089,      0.9754011214,       3.270624051
      0.2982257231,      0.9754011523,       3.270680819
      0.2982211772,      0.9754023358,       3.270734644
      0.2982171597,      0.9754043306,       3.270785396
      0.2982135854,      0.9754068147,       3.270832928
      0.2982103976,      0.9754095755,        3.27087715
      0.2982075573,      0.9754124946,       3.270918093
      0.2982050297,      0.9754154852,       3.270955846
      0.2982027747,      0.9754184444,       3.270990505
      0.2982007507,      0.9754212622,       3.271022155
      0.2981989214,      0.9754238469,       3.271050889
      0.2981972581,      0.9754261358,        3.27107681
      0.2981957392,      0.9754280944,       3.271100039
      0.2981943511,       0.975429717,       3.271120708
      0.2981930877,      0.9754310301,       3.271138971
      0.2981919498,      0.9754320876,          3.271155
      0.2981909416,      0.9754329577,       3.271168978
      0.2981900671,      0.9754337084,       3.271181089
      0.2981893275,      0.9754343954,       3.271191507
      0.2981887209,      0.9754350587,       3.271200385
      0.2981882422,      0.9754357241,       3.271207868
      0.2981878841,      0.9754364079,       3.271214089
       0.298187639,      0.9754371202,       3.271219168
      0.2981874994,       0.975437873,       3.271223224
       0.298187456,      0.9754386674,       3.271226364
      0.2981874977,      0.9754394916,        3.27122867
      0.2981876133,      0.9754403326,       3.271230223
      0.2981877915,      0.9754411777,       3.271231102
      0.2981880218,      0.9754420126,       3.271231375
      0.2981882944,      0.9754428237,       3.271231104
      0.2981886002,      0.9754435993,       3.271230351
       0.298188931,      0.9754443305,       3.271229174
        0.29818928,      0.9754450113,       3.271227629
      0.2981896415,      0.9754456388,       3.271225767
       0.298190011,      0.9754462119,       3.271223636
      0.2981903846,      0.9754467312,       3.271221279
      0.2981907591,      0.9754471987,       3.271218737
      0.2981911321,      0.9754476169,       3.271216049
      0.2981915014,      0.9754479893,       3.271213247
      0.2981918653,      0.9754483198,       3.271210362
      0.2981922226,      0.9754486122,       3.271207424
      0.2981925721,      0.9754488706,       3.271204456
       0.298192913,      0.9754490988,       3.271201481
      0.2981932447,      0.9754493003,       3.271198519
      0.2981935664,      0.9754494781,       3.271195586
      0.2981938776,      0.9754496348,       3.271192697
      0.2981941779,      0.9754497727,       3.271189866
      0.2981944666,      0.9754498937,       3.271187104
      0.2981947436,      0.9754499993,        3.27118442
      0.2981950085,       0.975450091,       3.271181821
      0.2981952609,      0.9754501697,       3.271179316
      0.2981955008,      0.9754502364,       3.271176908
      0.2981957281,      0.9754502919,       3.271174601
      0.2981959427,      0.9754503369,       3.271172398
      0.2981961447,      0.9754503719,         3.2711703
      0.2981963341,      0.9754503977,       3.271168308
      0.2981965113,      0.9754504147,       3.271166421
      0.2981966765,      0.9754504237,       3.271164639
      0.2981968299,      0.9754504252,       3.271162961
      0.2981969721,      0.9754504201,       3.271161385
      0.2981971033,      0.9754504089,       3.271159908
       0.298197224,      0.9754503924,       3.271158528
      0.2981973348,      0.9754503713,       3.271157242
       0.298197436,      0.9754503461,       3.271156048
      0.2981975281,      0.9754503175,       3.271154941
      0.2981976117,      0.9754502861,       3.271153919
      0.2981976872,      0.9754502524,       3.271152978
      0.2981977551,      0.9754502169,       3.271152114
      0.2981978159,        0.97545018,       3.271151323
        0.29819787,       0.975450142,       3.271150603
      0.2981979178,      0.9754501034,       3.271149948
      0.2981979599,      0.9754500645,       3.271149356
      0.2981979965,      0.9754500254,       3.271148823
      0.2981980282,      0.9754499866,       3.271148346
      0.2981980556,      0.9754499495,        3.27114792
      0.2981980789,      0.9754499137,       3.271147545
      0.2981980985,      0.9754498788,       3.271147213
      0.2981981144,      0.9754498444,       3.271146923
       0.298198127,      0.9754498108,       3.271146672
      0.2981981367,      0.9754497777,       3.271146455
      0.2981981435,      0.9754497453,       3.271146271
      0.2981981479,      0.9754497136,       3.271146117
        0.29819815,      0.9754496826,        3.27114599
      0.2981981501,      0.9754496525,       3.271145888
      0.2981981484,      0.9754496234,       3.271145808
      0.2981981452,      0.9754495952,        3.27114575
      0.2981981405,      0.9754495679,        3.27114571
      0.2981981346,      0.9754495417,       3.271145687
      0.2981981276,      0.9754495165,       3.271145678
      0.2981981199,      0.9754494923,       3.271145682
      0.2981981114,      0.9754494692,       3.271145698
      0.2981981023,      0.9754494473,       3.271145724
      0.2981980928,      0.9754494266,       3.271145759
       0.298198083,       0.975449407,       3.271145801
       0.298198073,      0.9754493886,       3.271145849
      0.2981980629,      0.9754493714,       3.271145902
      0.2981980527,      0.9754493553,        3.27114596
      0.2981980426,      0.9754493402,       3.271146021
      0.2981980325,      0.9754493263,       3.271146084
      0.2981980226,      0.9754493133,       3.271146149
      0.2981980129,      0.9754493013,       3.271146215
      0.2981980034,      0.9754492903,       3.271146282
      0.2981979942,        0.97544928,        3.27114635
      0.2981979852,      0.9754492706,       3.271146416
      0.2981979765,       0.975449262,       3.271146482
      0.2981979682,       0.975449254,       3.271146547
      0.2981979601,      0.9754492467,       3.271146611
      0.2981979524,        0.97544924,       3.271146673
      0.2981979451,      0.9754492338,       3.271146733
       0.298197938,      0.9754492282,       3.271146792
      0.2981979314,      0.9754492231,       3.271146848
       0.298197925,      0.9754492185,       3.271146902
       0.298197919,      0.9754492143,       3.271146953
      0.2981979134,      0.9754492104,       3.271147002
      0.2981979081,       0.975449207,       3.271147049
      0.2981979031,      0.9754492039,       3.271147093
      0.2981978984,      0.9754492011,       3.271147135
       0.298197894,      0.9754491986,       3.271147175
        0.29819789,      0.9754491964,       3.271147212
      0.2981978862,      0.9754491944,       3.271147246
      0.2981978828,      0.9754491927,       3.271147279
      0.2981978795,      0.9754491911,       3.271147309
      0.2981978766,      0.9754491898,       3.271147337
      0.2981978739,      0.9754491886,       3.271147362
      0.2981978714,      0.9754491876,       3.271147386
      0.2981978691,      0.9754491867,       3.271147408
      0.2981978671,      0.9754491859,       3.271147428
      0.2981978652,      0.9754491852,       3.271147446
      0.2981978635,      0.9754491846,       3.271147463
       0.298197862,      0.9754491841,       3.271147478
      0.2981978606,      0.9754491837,       3.271147491
      0.2981978594,      0.9754491833,       3.271147503
      0.2981978583,       0.975449183,       3.271147514
      0.2981978574,      0.9754491827,       3.271147523
      0.2981978566,      0.9754491825,       3.271147532
      0.2981978559,      0.9754491823,       3.271147539
      0.2981978552,      0.9754491821,       3.271147545
      0.2981978547,       0.975449182,        3.27114755
