VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1490692055,      0.5302862359,       3.557315772
      0.1116654334,      0.6018925534,       5.390142098
      0.1068783033,      0.6071450936,       5.680714184
      0.1031580989,      0.6115781827,       5.928552282
      0.1019435151,      0.6183391603,       6.065507551
      0.1011746379,      0.6230779512,       6.158440138
       0.100745179,      0.6255628502,       6.209357673
      0.1007212248,      0.6272648588,       6.227732638
      0.1009770882,      0.6287135734,         6.2262993
        0.10136875,      0.6301822549,        6.21673104
      0.1018463025,      0.6317770802,       6.203240224
      0.1024159128,      0.6336312184,       6.186843438
      0.1030616186,      0.6357823994,       6.168954149
      0.1037440541,      0.6380462805,       6.150196134
      0.1044330402,      0.6402875337,       6.131082005
      0.1050856087,      0.6422905265,       6.112069337
      0.1057150951,      0.6441429852,       6.093197802
      0.1063429399,      0.6460040885,       6.074724748
      0.1069717835,       0.647884951,       6.056596703
      0.1076043959,      0.6498196077,       6.038968971
       0.108226409,      0.6517155025,       6.021778867
      0.1088468681,      0.6536076374,       6.004836419
      0.1094112271,      0.6552111243,       5.988518198
      0.1099291056,      0.6565385127,       5.972381103
      0.1104414578,      0.6578017845,       5.956112836
      0.1109284697,      0.6589945204,       5.940715869
      0.1114039582,      0.6601677039,       5.925890915
      0.1118587952,      0.6612715963,       5.911663853
      0.1122748054,      0.6622451977,       5.898431043
      0.1126951466,      0.6632527713,       5.885371212
      0.1130939241,      0.6641830052,        5.87284428
      0.1134395286,      0.6647593751,       5.860032949
      0.1137618736,      0.6651186568,       5.846586699
      0.1140561388,      0.6654062812,       5.834024266
      0.1143293796,      0.6656785098,       5.822462367
      0.1145949889,      0.6659843048,       5.811635494
      0.1148578227,      0.6663304257,       5.801349963
      0.1151260846,      0.6667550431,        5.79152019
       0.115395759,      0.6672610765,       5.782370879
      0.1156624197,      0.6678244407,       5.773910338
      0.1159184828,      0.6684102629,       5.766209555
      0.1161600918,      0.6689847683,       5.759161845
      0.1163909789,      0.6695300848,       5.752422489
      0.1165987715,       0.669990555,        5.74612019
      0.1167865952,      0.6703601826,       5.740043893
      0.1169552868,      0.6706341824,        5.73410746
      0.1171146472,      0.6708894221,       5.728484336
      0.1172699503,      0.6711442247,       5.723070771
      0.1174128571,      0.6713701832,       5.718029523
      0.1175429839,      0.6715801346,       5.713485505
      0.1176655372,      0.6718078881,       5.709470286
      0.1177829111,      0.6720520967,       5.705854021
      0.1178909308,      0.6722806459,       5.702564575
      0.1179910063,      0.6724910996,        5.69951152
      0.1180741199,      0.6726397147,       5.696758231
      0.1181435944,      0.6727394893,       5.694252766
      0.1182034504,      0.6728071935,       5.691942082
       0.118257502,       0.672852097,       5.689720191
      0.1183079191,      0.6728865258,       5.687586518
       0.118356916,      0.6729273382,       5.685576821
      0.1184024473,      0.6729665014,       5.683721214
      0.1184428497,      0.6729959203,       5.682030802
      0.1184778922,      0.6730130061,       5.680494424
      0.1185068047,      0.6730125316,        5.67910453
      0.1185296984,      0.6729946516,       5.677856777
      0.1185478212,      0.6729646561,        5.67673576
