VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1911003102,      0.5977703697,          3.128045
      0.1603934987,      0.6454209233,       4.023984317
      0.1557311065,      0.6493360388,       4.169597541
        0.15325352,      0.6538243868,       4.266292787
      0.1521047272,        0.65620504,       4.314165982
      0.1514812727,      0.6574644524,       4.340235864
      0.1513325207,      0.6586260848,       4.352178116
      0.1515362341,      0.6598888503,       4.354660482
      0.1520424271,      0.6616444306,       4.351709212
      0.1527732689,      0.6639511236,        4.34599016
       0.153606931,      0.6664737135,       4.338825789
      0.1544416757,      0.6688710037,       4.330897088
       0.155274259,       0.671181575,       4.322555324
      0.1561027244,      0.6734723164,       4.314289318
      0.1569087832,      0.6756734893,       4.306154668
      0.1576888447,      0.6778119923,       4.298414345
      0.1584486382,      0.6798954979,        4.29095198
      0.1591356655,      0.6817345529,       4.283983423
      0.1598092503,      0.6834389676,       4.276592039
      0.1603987319,      0.6847715185,       4.269182868
      0.1608909297,      0.6857355098,        4.26211416
      0.1613753137,      0.6867268603,       4.255464138
      0.1618703693,      0.6878410059,       4.249332405
      0.1623566461,      0.6890337434,       4.243951571
      0.1628491382,      0.6903127165,       4.238970646
      0.1633060801,       0.691503684,       4.234402561
      0.1637643064,      0.6926954299,        4.22983155
       0.164207966,      0.6938701856,       4.225557397
      0.1646330585,      0.6949518065,       4.221216643
      0.1650132704,      0.6958722742,       4.217068558
      0.1653770672,      0.6967177716,       4.212904386
      0.1657362243,      0.6975462835,        4.20877383
      0.1660810114,      0.6983545007,       4.204902745
      0.1664127394,      0.6991841025,       4.201505875
      0.1667310149,      0.7000238756,        4.19852225
      0.1670342537,      0.7008177132,       4.195652674
      0.1673205751,      0.7015782175,       4.193018204
      0.1676031521,      0.7023525497,       4.190568857
      0.1678637346,      0.7030436924,       4.188180932
      0.1680951204,      0.7036280889,       4.185892411
      0.1683042348,      0.7041264339,       4.183652508
       0.168488311,      0.7045210528,       4.181423913
      0.1686685686,      0.7049073671,       4.179245565
      0.1688387748,      0.7052766533,       4.177219682
      0.1689997785,      0.7056298742,       4.175330172
      0.1691516933,      0.7059628953,       4.173549088
      0.1693045867,      0.7063025686,       4.171786379
      0.1694566468,      0.7066477078,       4.170079612
      0.1695932775,      0.7069563264,       4.168539796
      0.1697184792,      0.7072377771,       4.167122993
      0.1698421178,      0.7075212328,       4.165758422
      0.1699593257,      0.7078009018,       4.164531124
      0.1700650098,      0.7080528962,       4.163424899
      0.1701609726,       0.708283297,       4.162430939
      0.1702494423,      0.7084921044,       4.161494423
      0.1703297775,      0.7086749589,       4.160605204
       0.170403521,      0.7088387367,       4.159765787
      0.1704712852,      0.7089862722,       4.158977691
      0.1705345907,       0.709124664,       4.158245323
      0.1705924814,       0.709247885,       4.157556529
      0.1706444535,      0.7093528726,       4.156905532
      0.1706921721,      0.7094484959,       4.156303639
      0.1707366154,      0.7095399612,        4.15575745
      0.1707784931,      0.7096323709,       4.155279497
      0.1708154284,      0.7097116041,       4.154844855
      0.1708468741,      0.7097717126,       4.154431951
      0.1708751005,      0.7098212145,       4.154035388
      0.1709019436,      0.7098686541,       4.153660509
      0.1709273069,      0.7099147342,       4.153313751
