VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.2183877135,     0.06937649584,      0.3176758195
      0.1637150908,      -0.098814561,     -0.6035763748
      0.1585914762,    -0.04234128831,     -0.2669833797
      0.1523594111,   0.0006084066272,    0.003993232993
      0.1504057575,     -0.0684624436,     -0.4551849924
      0.1513414401,    -0.04198781038,     -0.2774376294
      0.1503564263,    -0.04602987491,     -0.3061383943
      0.1506915804,     -0.0475800318,     -0.3157444608
      0.1513148297,    -0.04464805753,     -0.2950672953
      0.1520412491,    -0.04209340052,     -0.2768551348
      0.1529214248,    -0.03504842787,     -0.2291923968
      0.1538566576,    -0.02863577686,     -0.1861198424
      0.1549241575,    -0.02270997165,     -0.1465876725
      0.1559939901,    -0.01927769504,     -0.1235797291
      0.1567839311,    -0.02312046899,     -0.1474670831
      0.1577777314,    -0.02180961684,     -0.1382300065
      0.1585875429,     -0.0200508209,     -0.1264337699
      0.1594239743,    -0.02060449513,     -0.1292433916
      0.1603643372,    -0.01874450966,     -0.1168870211
      0.1612181001,    -0.01671314459,     -0.1036679168
      0.1620754152,    -0.01486328649,     -0.0917059905
      0.1629153295,    -0.01364004352,    -0.08372473948
      0.1636958849,    -0.01223408278,    -0.07473665442
      0.1644161434,    -0.01216673228,    -0.07399962088
      0.1651021088,    -0.01232881866,    -0.07467390181
      0.1657152032,    -0.01245768085,    -0.07517524409
      0.1663035308,     -0.0128908959,    -0.07751426466
      0.1668891469,    -0.01382889629,    -0.08286276574
      0.1674594563,    -0.01433356088,    -0.08559421605
      0.1679760853,    -0.01450949855,    -0.08637835868
      0.1684548951,    -0.01460926579,    -0.08672508913
      0.1689007196,    -0.01421522525,     -0.0841632012
      0.1692996429,    -0.01379509921,    -0.08148333322
      0.1696667919,     -0.0133834113,    -0.07888055846
      0.1700034672,    -0.01293888313,    -0.07610952496
      0.1703121186,    -0.01246796673,    -0.07320657413
      0.1705897911,    -0.01199095249,    -0.07029114938
      0.1708437532,    -0.01164078514,    -0.06813702535
      0.1710805999,    -0.01134145269,     -0.0662930379
      0.1712988081,    -0.01111261409,    -0.06487268775
      0.1715004351,    -0.01087154709,    -0.06339078429
      0.1716852319,    -0.01065405347,    -0.06205573626
      0.1718552419,    -0.01042689501,    -0.06067254565
       0.172010976,     -0.0103053683,     -0.0599111088
      0.1721533734,    -0.01025716565,    -0.05958155479
      0.1722828845,    -0.01023865203,    -0.05942930467
      0.1724011729,    -0.01023858394,     -0.0593881339
      0.1725085898,    -0.01020827242,    -0.05917544418
      0.1726048847,    -0.01023717234,     -0.0593098646
      0.1726926736,    -0.01031298746,    -0.05971873182
      0.1727732346,    -0.01030044538,    -0.05961829329
      0.1728452999,    -0.01028787615,    -0.05952071681
      0.1729116921,    -0.01026321214,    -0.05935522358
      0.1729717793,    -0.01021876855,    -0.05907766335
      0.1730248167,    -0.01017183398,    -0.05878829506
      0.1730720967,    -0.01013781423,    -0.05857567119
      0.1731144162,    -0.01011375056,    -0.05842234737
      0.1731519271,    -0.01010105727,    -0.05833638377
      0.1731848943,    -0.01010587736,    -0.05835311102
      0.1732146168,    -0.01011940599,    -0.05842120123
      0.1732412033,    -0.01013864131,    -0.05852326766
      0.1732647199,    -0.01016610268,    -0.05867381824
      0.1732855729,    -0.01020350916,    -0.05888262357
      0.1733042032,    -0.01024446679,    -0.05911262741
      0.1733208427,    -0.01028424133,    -0.05933643736
      0.1733356019,    -0.01031785768,    -0.05952532293
       0.173348589,    -0.01035085895,    -0.05971123854
      0.1733600984,    -0.01037712526,    -0.05985878733
      0.1733700609,    -0.01040211605,     -0.0599994947
      0.1733786755,    -0.01043169002,    -0.06016708799
      0.1733862679,     -0.0104627258,    -0.06034345125
      0.1733928059,    -0.01049277405,    -0.06051447172
      0.1733983296,     -0.0105256811,     -0.0607023212
      0.1734030108,     -0.0105587814,    -0.06089156902
      0.1734069049,    -0.01059230597,    -0.06108353052
      0.1734101454,    -0.01062575713,    -0.06127529102
       0.173412868,    -0.01065884608,    -0.06146513923
      0.1734151789,    -0.01069066464,    -0.06164780214
      0.1734171346,    -0.01072030808,    -0.06181804411
      0.1734187615,    -0.01074710713,    -0.06197199795
      0.1734200765,    -0.01077081132,    -0.06210821456
      0.1734211036,    -0.01079154026,    -0.06222737626
      0.1734218752,    -0.01080967416,    -0.06233166459
      0.1734224274,    -0.01082568566,    -0.06242379272
       0.173422776,    -0.01083979337,     -0.0625050159
      0.1734228576,     -0.0108515311,    -0.06257266924
      0.1734229292,    -0.01086507024,    -0.06265071344
      0.1734230322,    -0.01088004823,    -0.06273704302
       0.173423061,    -0.01089361013,    -0.06281523384
      0.1734229759,    -0.01090686339,    -0.06289168626
      0.1734228358,    -0.01091918949,    -0.06296281245
      0.1734226604,    -0.01093033284,     -0.0630271316
      0.1734224651,    -0.01093990927,     -0.0630824228
      0.1734222605,    -0.01094777318,    -0.06312784271
      0.1734220498,    -0.01095388275,    -0.06316314885
      0.1734218271,    -0.01095831979,    -0.06318881524
      0.1734215813,    -0.01096124283,    -0.06320575987
      0.1734213043,    -0.01096308642,    -0.06321649157
       0.173420997,    -0.01096406487,    -0.06322224564
      0.1734206635,    -0.01096449975,     -0.0632248749
      0.1734203108,    -0.01096465449,    -0.06322589571
       0.173419946,    -0.01096472394,    -0.06322642922
      0.1734195769,    -0.01096480151,    -0.06322701106
       0.173419211,    -0.01096491464,    -0.06322779683
      0.1734188547,    -0.01096504107,    -0.06322865576
      0.1734185141,    -0.01096510806,    -0.06322916625
      0.1734181933,    -0.01096503577,    -0.06322886637
      0.1734178948,    -0.01096475323,    -0.06322734596
      0.1734176191,     -0.0109642146,    -0.06322434048
      0.1734173656,    -0.01096340391,    -0.06321975812
      0.1734171323,    -0.01096233512,    -0.06321368005
      0.1734169165,    -0.01096105009,    -0.06320634868
      0.1734167154,    -0.01095961363,    -0.06319813869
      0.1734165266,     -0.0109581055,    -0.06318951088
      0.1734163486,    -0.01095659806,    -0.06318088313
      0.1734161807,    -0.01095515163,    -0.06317260353
      0.1734160227,     -0.0109538072,    -0.06316490849
       0.173415875,     -0.0109525857,    -0.06315791852
      0.1734157383,    -0.01095148948,    -0.06315164697
       0.173415613,    -0.01095050632,    -0.06314602316
      0.1734154998,    -0.01094961638,     -0.0631409326
