VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.3176659247,      0.9295691012,       2.926247447
      0.2753655879,      0.9912839634,       3.599883236
      0.2643739092,      0.9996600241,       3.781235551
      0.2586141184,       1.010474902,       3.907268902
      0.2542048179,       1.015297261,       3.994012663
      0.2511989275,       1.017049093,       4.048779599
      0.2502561242,       1.020199557,       4.076621742
      0.2504055452,       1.024727829,        4.09227291
      0.2509807624,       1.029678644,       4.102619794
      0.2517385081,       1.033376103,       4.104958399
      0.2526683258,       1.036292769,       4.101395637
       0.253894949,        1.03948034,       4.094135562
      0.2553560642,       1.043136484,       4.085027264
      0.2570634596,       1.047469456,       4.074750484
      0.2587108481,       1.051281872,       4.063539972
      0.2602548387,       1.054343992,       4.051198424
      0.2614395811,       1.055568577,       4.037523975
      0.2622631718,         1.0550326,       4.022801193
      0.2629018699,        1.05319121,       4.006024034
      0.2637753535,       1.051916298,       3.987924892
      0.2650152415,       1.052219849,        3.97041258
      0.2664062274,        1.05342291,       3.954197769
      0.2678286006,       1.054968358,       3.938968265
      0.2691897174,       1.056413918,       3.924421515
      0.2707870406,       1.058734264,       3.909840965
      0.2720200432,       1.059554377,       3.895133479
      0.2730580971,       1.059352379,       3.879586029
      0.2742968223,        1.05992338,       3.864147498
       0.275575797,       1.060978614,       3.850042804
       0.276893825,       1.062380158,       3.836778077
      0.2776820058,       1.061707557,       3.823465456
      0.2784874386,       1.061048755,       3.810041702
      0.2790278519,       1.059303635,       3.796408237
      0.2792594832,       1.056189982,       3.782109636
      0.2797158069,       1.054011598,       3.768151718
       0.280614636,       1.053772536,       3.755230131
      0.2816037413,        1.05409487,       3.743184891
      0.2823926938,       1.053757766,       3.731533389
      0.2829139741,       1.052511441,       3.720252578
      0.2833635971,       1.050939772,       3.708803047
      0.2837776727,        1.04914831,       3.697078422
      0.2843198756,        1.04793719,       3.685768319
      0.2848830997,       1.047065317,       3.675420964
      0.2853815333,       1.046215299,       3.666023121
      0.2858402286,       1.045417731,       3.657349899
      0.2863740931,       1.045038274,       3.649206751
      0.2869613945,       1.044973268,       3.641511674
      0.2875655033,       1.045069598,       3.634196682
      0.2880035189,        1.04470716,       3.627411095
      0.2882868106,       1.043801832,       3.620706164
       0.288625839,       1.043136395,        3.61414764
       0.288988413,       1.042638426,       3.607890072
      0.2893759479,       1.042357678,       3.602088166
      0.2897745456,       1.042320846,        3.59700623
      0.2901213052,       1.042260279,       3.592498244
      0.2904458846,       1.042239749,       3.588412866
      0.2907265654,       1.042144931,       3.584622305
      0.2910339543,       1.042256627,        3.58122003
       0.291282165,       1.042240771,       3.578113925
      0.2914951747,       1.042168365,       3.575250831
      0.2916543073,       1.041964666,       3.572601672
       0.291720738,       1.041448458,        3.57001859
      0.2918209574,       1.041077512,       3.567521406
       0.291924813,       1.040754422,        3.56514546
      0.2920118366,       1.040404948,       3.562886217
      0.2920718936,       1.039997791,       3.560759572
      0.2921290056,       1.039622596,       3.558779088
      0.2921806397,       1.039276338,         3.5569651
      0.2922242442,       1.038958116,        3.55534538
      0.2922602972,       1.038670648,       3.553923189
      0.2922919679,       1.038418895,       3.552676808
       0.292323504,       1.038213184,       3.551589831
      0.2923557745,       1.038049928,       3.550639387
      0.2923870122,       1.037918682,       3.549811172
       0.292414652,       1.037807175,       3.549094303
      0.2924391194,       1.037713082,       3.548475607
      0.2924614735,       1.037637069,       3.547944476
      0.2924816278,       1.037576141,       3.547491679
      0.2924990022,         1.0375253,       3.547107143
       0.292513162,       1.037480265,       3.546781477
      0.2925244098,       1.037439775,       3.546506687
      0.2925334823,       1.037404651,       3.546276628
      0.2925407283,       1.037374779,       3.546086677
      0.2925464162,       1.037349877,        3.54593261
      0.2925506033,       1.037328985,       3.545810447
       0.292553372,       1.037311477,       3.545717041
      0.2925548469,       1.037296894,        3.54564932
      0.2925551678,        1.03728492,       3.545604501
      0.2925544736,       1.037275296,       3.545580019
      0.2925528875,       1.037267761,       3.545573484
      0.2925505129,       1.037262021,       3.545582645
      0.2925474352,       1.037257754,       3.545605358
      0.2925437299,       1.037254646,       3.545639644
      0.2925394747,       1.037252453,       3.545683721
       0.292534756,        1.03725102,       3.545736015
      0.2925296543,       1.037250224,       3.545795132
      0.2925242417,       1.037249951,       3.545859807
      0.2925185735,        1.03725011,       3.545929059
       0.292512727,       1.037250655,       3.546001795
      0.2925067885,       1.037251575,        3.54607693
      0.2925008058,       1.037252842,       3.546153794
      0.2924948198,       1.037254425,       3.546231779
      0.2924888557,       1.037256241,       3.546310296
      0.2924828804,       1.037257991,       3.546388732
      0.2924769972,       1.037259934,       3.546466712
      0.2924712649,       1.037262155,       3.546543813
      0.2924657261,       1.037264711,       3.546619717
      0.2924603933,       1.037267563,        3.54669414
      0.2924552743,        1.03727067,       3.546766842
       0.292450379,       1.037274008,       3.546837627
      0.2924457114,       1.037277545,       3.546906331
        0.29244127,       1.037281235,       3.546972815
      0.2924370547,       1.037285039,       3.547036952
      0.2924330756,       1.037288967,       3.547098649
      0.2924292907,       1.037292842,       3.547157807
      0.2924256752,       1.037296541,       3.547214313
      0.2924222627,       1.037300185,       3.547268172
      0.2924190566,       1.037303793,       3.547319402
      0.2924160433,       1.037307319,       3.547368014
      0.2924132034,       1.037310699,       3.547414025
      0.2924105254,       1.037313902,       3.547457469
      0.2924080049,        1.03731693,         3.5474984
      0.2924056394,       1.037319791,       3.547536885
      0.2924034237,       1.037322491,       3.547573001
      0.2924013511,        1.03732503,       3.547606829
      0.2923994152,       1.037327411,       3.547638458
      0.2923976104,       1.037329639,       3.547667975
       0.292395931,        1.03733172,       3.547695472
      0.2923943706,       1.037333661,       3.547721042
      0.2923929232,       1.037335466,       3.547744776
      0.2923915824,       1.037337139,       3.547766765
      0.2923903427,       1.037338685,       3.547787098
      0.2923891987,       1.037340113,       3.547805861
      0.2923881447,       1.037341427,       3.547823143
      0.2923871749,        1.03734263,       3.547839026
      0.2923862837,       1.037343727,       3.547853593
       0.292385466,       1.037344723,       3.547866921
      0.2923847172,       1.037345624,        3.54787909
      0.2923840329,       1.037346437,       3.547890173
      0.2923834089,       1.037347168,       3.547900243
      0.2923828411,       1.037347821,       3.547909369
      0.2923823252,       1.037348402,       3.547917617
      0.2923818576,       1.037348916,       3.547925048
      0.2923814344,       1.037349367,       3.547931724
      0.2923810524,       1.037349759,       3.547937701
      0.2923807082,       1.037350096,       3.547943032
      0.2923803989,       1.037350384,       3.547947769
      0.2923801217,       1.037350626,       3.547951959
      0.2923798739,       1.037350825,       3.547955647
      0.2923796531,       1.037350985,       3.547958876
      0.2923794568,       1.037351111,       3.547961686
       0.292379283,       1.037351204,       3.547964114
      0.2923791296,       1.037351268,       3.547966194
      0.2923789949,       1.037351306,        3.54796796
      0.2923788769,        1.03735132,        3.54796944
      0.2923787742,       1.037351314,       3.547970664
      0.2923786852,       1.037351288,       3.547971658
      0.2923786086,       1.037351247,       3.547972444
      0.2923785431,        1.03735119,       3.547973047
      0.2923784876,       1.037351122,       3.547973485
       0.292378441,       1.037351042,       3.547973778
      0.2923784023,       1.037350953,       3.547973943
      0.2923783706,       1.037350856,       3.547973995
      0.2923783451,       1.037350752,        3.54797395
