VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.2887050522,      0.8078329436,       2.798125414
      0.2380964867,      0.8389665562,       3.523641058
      0.2242551063,      0.8368055185,        3.73148925
      0.2180434437,      0.8453313239,       3.876894023
      0.2154176023,      0.8527439663,       3.958562148
      0.2139148961,      0.8562943829,       4.002967528
      0.2133127631,      0.8592739538,       4.028235073
      0.2135703449,      0.8637386744,       4.044281873
      0.2141618992,      0.8682006844,       4.053945578
      0.2149587641,       0.872212926,        4.05758253
      0.2159582875,      0.8758028203,       4.055425844
       0.217172585,      0.8794904895,       4.049730723
       0.218564305,      0.8834835946,       4.042213548
      0.2201261843,       0.888002128,       4.034059514
      0.2217372112,      0.8926854724,       4.025871289
      0.2232431347,      0.8968408919,       4.017327983
      0.2245819556,      0.9000698453,       4.007756735
      0.2259587758,      0.9029578397,       3.996117595
      0.2272841952,      0.9053009079,       3.983123011
      0.2285697574,      0.9071866555,       3.968970636
      0.2298873694,      0.9091103724,        3.95459035
      0.2309644445,      0.9102310392,       3.941000707
      0.2321029678,      0.9118285259,       3.928551774
      0.2334974455,      0.9148116024,       3.917865571
      0.2349832603,      0.9181785265,       3.907421002
       0.236501468,      0.9217161752,       3.897295788
       0.238011131,      0.9254818278,       3.888397252
      0.2393152182,      0.9286215273,       3.880327938
      0.2404898864,      0.9311617711,        3.87193734
       0.241355237,      0.9324631216,       3.863446814
      0.2422503984,      0.9339419982,       3.855275386
      0.2433679797,      0.9363456133,       3.847447863
      0.2445527283,      0.9394178256,       3.841371274
      0.2457054503,      0.9426111824,       3.836346249
      0.2466064079,       0.944861631,       3.831456121
      0.2472348267,      0.9459149206,       3.825977647
      0.2477964435,      0.9463671884,       3.819131442
      0.2482709298,      0.9463179712,       3.811634218
      0.2486158734,      0.9456004066,       3.803459505
      0.2487618455,      0.9438471764,        3.79417983
      0.2488590921,       0.941612646,       3.783718079
      0.2490500589,      0.9397562757,       3.773362993
