VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
       0.141113482,      0.7224664537,       5.119754991
      0.1078393066,      0.7782177176,       7.216456988
      0.1018815372,      0.7582867411,       7.442827836
      0.0986008299,      0.7556965162,       7.664200362
     0.09738919383,      0.7581815984,       7.785069047
     0.09667254537,      0.7597017482,       7.858505694
     0.09648778633,      0.7623794496,       7.901305218
      0.0967499053,      0.7665415019,       7.922917335
     0.09720765191,      0.7709595554,       7.931058309
     0.09777379896,      0.7754282888,       7.930839316
      0.0983999394,      0.7801248705,        7.92810316
     0.09903113952,      0.7849179103,         7.9259707
     0.09964200769,      0.7895839448,       7.924207501
       0.100211671,      0.7938982601,       7.922213574
      0.1007435749,      0.7978017408,       7.919132722
      0.1012618634,      0.8013667874,       7.913806444
      0.1017580081,      0.8045011011,       7.906022494
      0.1022136754,      0.8071776757,       7.896963615
      0.1026653803,      0.8096477637,       7.886278331
      0.1031078205,       0.811900168,       7.874283096
      0.1035290145,      0.8140045182,       7.862573811
      0.1039440907,      0.8161427508,       7.851747467
      0.1043356617,      0.8182092085,       7.842085779
       0.104706517,      0.8202084158,       7.833403681
      0.1050665025,      0.8222087185,       7.825602819
      0.1054114335,      0.8241511775,       7.818423015
        0.10576361,      0.8261897951,       7.811664098
      0.1061331595,      0.8283438144,       7.804759779
      0.1065003714,        0.83044573,       7.797585294
      0.1068545587,      0.8323688128,       7.789736095
      0.1071974071,      0.8341274714,       7.781228054
      0.1075156429,      0.8356683643,        7.77252818
      0.1078234119,      0.8370933919,       7.763558742
      0.1081163872,      0.8384000091,       7.754606223
      0.1083922548,      0.8395681044,       7.745646639
      0.1086528344,      0.8406163128,       7.736717753
       0.108901059,      0.8416160001,       7.728262773
      0.1091473702,      0.8426664717,       7.720446862
      0.1093912163,      0.8437647818,       7.713277268
      0.1096256458,      0.8448409516,       7.706599543
      0.1098411982,      0.8458192948,       7.700382995
      0.1100384821,      0.8466982845,       7.694565286
      0.1102249849,      0.8475304558,       7.689095685
      0.1103970137,      0.8483001822,       7.684086318
       0.110550831,      0.8489725666,       7.679477026
      0.1106893448,      0.8495652179,       7.675221312
      0.1108160734,      0.8500824029,        7.67111103
      0.1109343879,      0.8505521464,       7.667164013
      0.1110415848,      0.8509702519,        7.66352762
      0.1111433562,      0.8513660521,       7.660071469
      0.1112362052,      0.8517199138,       7.656858776
      0.1113244507,      0.8520573332,       7.653820233
      0.1114139201,      0.8524133193,       7.650869104
      0.1114996558,      0.8527587614,       7.648084251
       0.111577492,       0.853066902,       7.645510639
      0.1116496889,      0.8533473777,       7.643078868
      0.1117168599,      0.8536074561,       7.640811392
      0.1117780871,      0.8538412027,       7.638717258
      0.1118316282,      0.8540385352,       7.636824651
      0.1118799656,      0.8542163481,       7.635114507
      0.1119260339,      0.8543894803,       7.633518768
       0.111969777,      0.8545573934,        7.63203622
      0.1120106801,      0.8547162654,       7.630667584
      0.1120479854,      0.8548598814,       7.629408759
