VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1805506867,      0.4946462123,         2.7396529
      0.1396988952,       0.545606399,       3.905588504
      0.1329097584,      0.5503640564,       4.140885236
      0.1278648745,       0.555670704,        4.34576506
      0.1253718987,      0.5589800946,        4.45857565
      0.1238417329,      0.5601770122,       4.523329893
      0.1232508479,       0.561471753,       4.555520408
      0.1232793219,      0.5637757204,       4.573157215
      0.1236010122,      0.5664420314,       4.582826801
      0.1241317958,      0.5691271422,       4.584861907
      0.1247649613,      0.5714746569,       4.580409844
      0.1254390291,      0.5735083352,       4.572008721
      0.1261363746,      0.5755109195,       4.562608694
      0.1268905707,      0.5778330709,       4.553790464
      0.1276829594,      0.5804269625,       4.545845154
      0.1284910831,      0.5832091363,       4.538907466
      0.1293309717,      0.5861262423,       4.531986689
      0.1300711718,      0.5885118615,       4.524537246
      0.1307530168,      0.5904459444,       4.515734773
      0.1314010953,      0.5922057089,       4.506855195
      0.1320221363,      0.5937748741,       4.497540268
      0.1326073666,      0.5951951904,       4.488402157
      0.1332127559,      0.5966823224,       4.479168067
      0.1337701677,      0.5979010389,       4.469614182
      0.1342267603,       0.598681692,       4.460226043
      0.1346144128,      0.5991230047,       4.450660167
      0.1349697437,      0.5993640251,       4.440728777
      0.1352972695,      0.5994615782,       4.430699751
      0.1356374221,      0.5996734549,       4.421150489
      0.1359866423,      0.6000864605,       4.412833866
      0.1363395237,      0.6006570982,       4.405597747
        0.13670131,       0.601352119,       4.399022357
      0.1370342816,      0.6019663777,        4.39281595
      0.1373390439,      0.6025193979,       4.387094746
      0.1376433104,      0.6031356307,       4.381873909
      0.1379435109,      0.6038137434,         4.3772537
       0.138234815,      0.6045163427,       4.373112103
      0.1385140361,      0.6052097008,       4.369302332
      0.1387681858,      0.6057781344,       4.365396368
      0.1389993536,       0.606276548,       4.361722067
      0.1392104515,      0.6067391755,       4.358431204
      0.1393886777,      0.6070837687,       4.355330567
        0.13953411,      0.6072917679,       4.352281803
      0.1396626551,      0.6074242149,       4.349224311
      0.1397811916,      0.6075211768,       4.346229775
      0.1398942493,      0.6076271777,       4.343475024
      0.1400144716,      0.6078208422,       4.341128708
      0.1401391316,      0.6080878526,       4.339172403
       0.140259504,      0.6083662376,       4.337433259
      0.1403608434,      0.6085751809,       4.335790283
      0.1404506553,      0.6087309228,       4.334126612
      0.1405357534,      0.6088843719,       4.332594071
      0.1406175414,      0.6090535361,       4.331277094
       0.140693636,      0.6092225338,       4.330135686
      0.1407610122,       0.609368377,        4.32909914
      0.1408197574,      0.6094859022,       4.328127767
       0.140868885,      0.6095658228,       4.327185686
       0.140911046,       0.609623678,       4.326301559
      0.1409485802,      0.6096706027,       4.325482399
