VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1854762896,      0.6816055148,       3.674892981
      0.1582167395,      0.8351725324,       5.278661001
      0.1492387756,        0.83247245,       5.578124361
      0.1426187782,       0.829161514,       5.813831279
      0.1428541988,      0.8490238047,       5.943289116
      0.1434139498,      0.8622695099,       6.012452145
      0.1440134677,       0.871753468,       6.053277392
      0.1452173891,      0.8810233168,       6.066927122
      0.1464457825,      0.8878141068,       6.062408159
      0.1472168973,       0.890444449,       6.048520686
      0.1474743505,       0.889018538,       6.028292617
      0.1474278759,      0.8849534114,       6.002619289
      0.1473821274,      0.8801951699,       5.972197481
      0.1473886432,      0.8753090608,       5.938782267
       0.147521377,      0.8709137962,       5.903644705
      0.1478316581,      0.8673583083,       5.867202733
      0.1483807698,      0.8650426649,       5.829883926
      0.1491721747,      0.8639738282,       5.791789455
      0.1500740718,      0.8633945706,       5.753122844
      0.1509254889,      0.8625034323,       5.714763216
      0.1514803689,      0.8599759281,       5.677144402
      0.1516375312,      0.8553928733,       5.641036667
      0.1515460919,      0.8495515851,         5.6058957
      0.1514573169,      0.8437206967,       5.570682976
      0.1515226049,      0.8388223392,       5.535955114
      0.1517729464,      0.8351504039,       5.502630236
      0.1521030064,      0.8321266797,       5.470810205
      0.1524733841,      0.8295977052,       5.440934561
      0.1528312354,      0.8272387011,       5.412759367
      0.1531287689,        0.82475752,       5.386038992
      0.1532959341,      0.8217553775,        5.36058169
      0.1533299283,      0.8181998688,         5.3362046
      0.1532814683,      0.8144334559,        5.31331977
       0.153230905,      0.8108741636,       5.291844771
      0.1532303028,      0.8078159784,       5.271907474
      0.1533119568,      0.8054643273,       5.253760661
      0.1534706796,      0.8037769478,       5.237332304
      0.1536562911,      0.8024460039,        5.22234396
      0.1538122238,      0.8011264043,       5.208470331
      0.1538970043,      0.7995687054,       5.195479332
      0.1539029485,      0.7977247568,       5.183297427
      0.1538548622,      0.7957299866,       5.171952157
      0.1538062744,      0.7938844514,       5.161586904
      0.1537973964,      0.7924031532,       5.152253367
      0.1538402837,      0.7913385561,       5.143896884
      0.1539281525,       0.790640167,       5.136423418
      0.1540363128,      0.7901513546,       5.129643395
      0.1541327153,      0.7896879459,       5.123428496
      0.1541920372,      0.7891079962,       5.117696157
      0.1542076967,      0.7883717922,       5.112402357
      0.1542007141,      0.7875923147,       5.107578907
      0.1541890477,      0.7868584763,        5.10320602
      0.1541904473,      0.7862640609,       5.099304625
      0.1542154235,      0.7858607474,       5.095863498
      0.1542606123,      0.7856190396,       5.092803846
      0.1543139072,      0.7854638896,       5.090039543
      0.1543612363,      0.7853124416,       5.087497746
      0.1543932576,      0.7851123861,       5.085146839
       0.154407671,      0.7848500001,       5.082972853
      0.1544083585,      0.7845453356,       5.080977113
      0.1544041232,      0.7842477851,       5.079189396
      0.1544044921,      0.7840069118,       5.077617245
      0.1544147751,       0.783846968,       5.076243304
      0.1544341645,      0.7837590935,       5.075036965
      0.1544577727,      0.7837124806,       5.073959485
       0.154479427,      0.7836707485,        5.07297809
      0.1544945304,      0.7836065602,       5.072066681
      0.1545015066,      0.7835109783,       5.071219016
      0.1545024797,      0.7833968304,       5.070448268
      0.1545012445,      0.7832849324,       5.069764549
      0.1545008682,      0.7831910421,       5.069169198
        0.15450331,      0.7831245837,       5.068658941
      0.1545090413,      0.7830860755,       5.068221696
      0.1545167639,      0.7830663447,         5.0678407
      0.1545242052,      0.7830516703,       5.067501686
      0.1545292889,      0.7830301001,       5.067195389
      0.1545310683,      0.7829964185,        5.06691908
      0.1545299468,       0.782952947,       5.066674538
      0.1545272921,        0.78290717,       5.066465344
        0.15452472,      0.7828676113,       5.066293675
      0.1545233942,      0.7828399839,        5.06615835
      0.1545236587,      0.7828252902,       5.066054588
       0.154525054,      0.7828201981,        5.06597589
      0.1545266361,      0.7828188892,       5.065915554
      0.1545274862,      0.7828159529,       5.065868682
      0.1545270947,      0.7828084736,       5.065833116
      0.1545255142,      0.7827967393,       5.065808993
       0.154523252,      0.7827835084,       5.065797531
      0.1545209895,      0.7827723817,       5.065799696
      0.1545192751,       0.782766086,        5.06581516
      0.1545183247,      0.7827654271,       5.065842051
      0.1545179948,       0.782769227,       5.065877458
      0.1545179047,      0.7827750868,       5.065918335
      0.1545176365,      0.7827805277,       5.065962341
      0.1545169177,      0.7827839866,       5.066008294
      0.1545157132,      0.7827852703,       5.066056092
      0.1545142017,      0.7827853603,       5.066106234
       0.154512666,      0.7827857683,       5.066159225
      0.1545113591,      0.7827877803,       5.066215098
      0.1545104049,      0.7827919296,       5.066273241
      0.1545097699,      0.7827978773,       5.066332556
      0.1545093043,      0.7828046749,       5.066391818
      0.1545088239,      0.7828112362,       5.066450036
      0.1545081932,      0.7828167947,       5.066506692
      0.1545073763,      0.7828211643,       5.066561761
      0.1545064329,      0.7828246966,       5.066615556
      0.1545054764,       0.782828015,       5.066668402
      0.1545046198,      0.7828317162,       5.066720448
      0.1545039286,      0.7828361141,       5.066771578
      0.1545034018,       0.782841152,        5.06682146
      0.1545029868,      0.7828465004,       5.066869687
      0.1545025919,      0.7828516284,       5.066915829
      0.1545021545,      0.7828562065,       5.066959805
      0.1545016554,      0.7828601433,       5.067001654
      0.1545011136,      0.7828635602,       5.067041538
      0.1545005725,        0.78286671,       5.067079672
      0.1545000778,      0.7828698494,       5.067116216
      0.1544996585,      0.7828731338,       5.067151226
      0.1544993177,      0.7828765711,       5.067184652
      0.1544990349,       0.782880042,       5.067216391
      0.1544987782,      0.7828833706,       5.067246355
      0.1544985187,      0.7828864078,       5.067274524
       0.154498242,      0.7828890895,       5.067300958
      0.1544979508,      0.7828914492,        5.06732578
      0.1544976609,      0.7828935888,       5.067349137
      0.1544973916,      0.7828956256,       5.067371153
       0.154497157,      0.7828976433,       5.067391909
      0.1544969607,      0.7828996661,       5.067411439
      0.1544967961,      0.7829016609,        5.06742975
      0.1544966504,      0.7829035635,       5.067446844
      0.1544965108,      0.7829053125,       5.067462744
      0.1544963693,      0.7829068761,       5.067477504
      0.1544962252,      0.7829082622,       5.067491205
      0.1544960833,      0.7829095102,       5.067503935
      0.1544959513,       0.782910671,       5.067515779
      0.1544958352,      0.7829117859,       5.067526802
      0.1544957375,      0.7829128738,       5.067537048
      0.1544956562,      0.7829139284,       5.067546544
       0.154495586,      0.7829149276,       5.067555313
      0.1544955214,       0.782915847,       5.067563382
      0.1544954583,      0.7829166717,       5.067570789
      0.1544953955,      0.7829174025,       5.067577581
      0.1544953342,      0.7829180545,       5.067583812
      0.1544952772,      0.7829186495,       5.067589532
      0.1544952272,      0.7829192073,       5.067594783
      0.1544951854,      0.7829197395,       5.067599599
      0.1544951513,      0.7829202471,       5.067604003
       0.154495123,      0.7829207237,       5.067608016
       0.154495098,        0.78292116,       5.067611659
      0.1544950744,      0.7829215497,       5.067614955
      0.1544950513,      0.7829218924,       5.067617932
      0.1544950289,       0.782922194,       5.067620617
      0.1544950083,      0.7829224636,        5.06762304
      0.1544949904,      0.7829227107,       5.067625225
       0.154494976,      0.7829229416,       5.067627192
       0.154494965,      0.7829231584,       5.067628957
