VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1707161283,      0.6928735046,       4.058629442
      0.1344991886,      0.7724731763,       5.743329638
      0.1293707441,      0.7789076308,        6.02074013
      0.1257642385,      0.7830615508,       6.226424618
      0.1243249587,      0.7863215337,       6.324727887
      0.1230729601,      0.7868076502,       6.393018007
      0.1222153242,      0.7863965094,        6.43451641
      0.1220490771,      0.7872286019,       6.450098769
      0.1224163763,      0.7891093735,       6.446109561
      0.1230685974,       0.791444828,       6.430924254
      0.1239095963,      0.7943234426,       6.410507875
      0.1247938839,      0.7973173105,       6.389073614
      0.1256076972,       0.799943891,       6.368589736
      0.1264092675,      0.8024346839,       6.347910241
      0.1272748696,      0.8051921772,       6.326403475
      0.1281631307,      0.8080236044,       6.304649396
      0.1290572579,      0.8108159853,        6.28260664
        0.12980036,      0.8127137997,        6.26125998
      0.1304171528,       0.813839734,       6.240281407
      0.1309755289,      0.8145525398,       6.219120063
      0.1315217247,      0.8152934473,       6.198926064
      0.1320868215,       0.816315792,       6.180145623
      0.1326640159,      0.8175316901,         6.1624223
      0.1332841354,      0.8190577406,       6.145200538
      0.1338947958,      0.8206431273,       6.129014366
      0.1344231461,      0.8218476833,         6.1138852
      0.1348703515,      0.8226536966,       6.099588882
      0.1352751498,      0.8232745559,       6.085926032
      0.1356534747,      0.8237967468,       6.072802402
      0.1360482895,      0.8244487179,       6.059971212
      0.1364406094,       0.825117261,       6.047446318
      0.1368594501,      0.8258786496,       6.034502177
      0.1372674597,      0.8266342077,       6.022069683
      0.1376729248,        0.82748615,        6.01052205
      0.1380572876,      0.8283753013,       6.000228713
      0.1384142814,       0.829213765,        5.99081075
      0.1387625544,      0.8300812262,       5.982026131
      0.1390955893,      0.8309334915,       5.973830626
      0.1393776314,      0.8316130078,       5.966617449
      0.1396239768,       0.832151551,       5.959947354
      0.1398554786,      0.8326155587,       5.953399659
      0.1400709818,      0.8330169778,       5.947106012
      0.1402584346,      0.8333337239,       5.941416119
      0.1404207709,      0.8335661343,       5.936202522
      0.1405546322,      0.8337101672,       5.931573755
      0.1406926668,      0.8339107461,       5.927179897
      0.1408355726,      0.8341692323,       5.923000962
      0.1409801641,      0.8344648232,       5.919022923
      0.1411154216,      0.8347397009,       5.915297504
       0.141235999,      0.8349674467,       5.911859957
      0.1413448078,      0.8351524779,       5.908618016
      0.1414411954,      0.8352922462,       5.905579656
      0.1415278108,      0.8354023057,        5.90274308
      0.1416050545,      0.8354772946,       5.900052776
      0.1416742023,      0.8355221443,       5.897489668
      0.1417371935,       0.835546345,       5.895039436
      0.1417949545,      0.8355551368,       5.892700058
      0.1418469965,      0.8355487417,       5.890493012
       0.141891264,      0.8355214514,       5.888462955
      0.1419295408,      0.8354830015,       5.886603992
      0.1419657557,      0.8354524277,       5.884886981
      0.1420027745,      0.8354397758,        5.88326375
      0.1420392218,      0.8354369479,       5.881734197
      0.1420730398,      0.8354315918,        5.88029645
      0.1421045564,      0.8354227896,       5.878930351
      0.1421340483,         0.8354139,       5.877647967
      0.1421617342,      0.8354060462,       5.876448052
       0.142187663,      0.8353997759,       5.875332348
      0.1422119327,      0.8353948864,        5.87429529
      0.1422344702,       0.835389961,        5.87332986
        0.14225525,      0.8353839984,       5.872430003
      0.1422744247,      0.8353775441,       5.871593196
      0.1422922511,      0.8353716761,       5.870816362
      0.1423093826,      0.8353689507,        5.87009047
      0.1423261808,      0.8353710486,       5.869412386
      0.1423427014,      0.8353778329,       5.868778834
      0.1423589843,      0.8353894182,       5.868188946
      0.1423751897,      0.8354061201,       5.867638329
      0.1423908985,      0.8354263623,       5.867133161
      0.1424054734,      0.8354455412,       5.866667351
      0.1424188191,      0.8354626131,       5.866237469
      0.1424310891,      0.8354781518,        5.86584121
      0.1424425337,      0.8354933262,       5.865476445
      0.1424533774,      0.8355089301,       5.865139494
      0.1424637718,      0.8355258215,       5.864830132
      0.1424735698,      0.8355427301,       5.864545483
      0.1424826933,      0.8355590121,       5.864284235
      0.1424912154,      0.8355749778,       5.864045551
      0.1424992369,      0.8355910316,       5.863828116
      0.1425067664,      0.8356070365,       5.863630601
      0.1425137649,      0.8356225789,       5.863451711
      0.1425202412,      0.8356374726,       5.863289772
      0.1425261963,         0.8356516,       5.863143909
      0.1425316792,      0.8356650289,       5.863012585
      0.1425367146,      0.8356777627,       5.862894799
      0.1425413234,      0.8356898047,       5.862789716
      0.1425455253,      0.8357011379,       5.862696398
       0.142549363,      0.8357118608,       5.862613785
      0.1425528644,      0.8357220124,       5.862541001
       0.142556055,       0.835731618,       5.862477172
       0.142558964,      0.8357407082,       5.862421306
      0.1425615977,       0.835749236,       5.862372825
      0.1425639659,      0.8357571811,       5.862331171
      0.1425660891,      0.8357645648,       5.862295658
      0.1425679912,      0.8357714278,        5.86226558
      0.1425696957,      0.8357778137,       5.862240287
      0.1425712233,      0.8357837618,       5.862219193
      0.1425725925,       0.835789304,       5.862201771
      0.1425738192,      0.8357944663,       5.862187539
      0.1425749181,      0.8357992702,       5.862176051
      0.1425759023,      0.8358037351,       5.862166897
      0.1425767842,      0.8358078792,       5.862159705
      0.1425775748,      0.8358117205,       5.862154142
      0.1425782841,      0.8358152764,       5.862149919
       0.142578921,      0.8358185633,       5.862146784
      0.1425794933,      0.8358215962,       5.862144525
      0.1425800077,      0.8358243883,       5.862142957
        0.14258047,      0.8358269517,        5.86214193
      0.1425808852,      0.8358292979,       5.862141315
      0.1425812577,       0.835831438,        5.86214101
      0.1425815914,      0.8358333831,       5.862140934
      0.1425818896,      0.8358351447,       5.862141026
      0.1425821554,      0.8358367339,       5.862141243
      0.1425823914,      0.8358381623,       5.862141558
      0.1425825999,      0.8358394409,       5.862141955
      0.1425827828,      0.8358405807,       5.862142428
       0.142582942,      0.8358415926,       5.862142981
       0.142583079,      0.8358424872,       5.862143623
      0.1425831953,      0.8358432746,       5.862144364
      0.1425832922,      0.8358439647,       5.862145219
       0.142583371,      0.8358445669,       5.862146204
      0.1425834328,      0.8358450902,       5.862147331
      0.1425834789,       0.835845543,       5.862148614
      0.1425835102,       0.835845933,       5.862150061
      0.1425835279,      0.8358462676,       5.862151679
      0.1425835331,      0.8358465533,        5.86215347
      0.1425835268,      0.8358467964,       5.862155434
      0.1425835101,      0.8358470024,       5.862157565
      0.1425834841,      0.8358471764,       5.862159855
      0.1425834498,      0.8358473229,       5.862162293
      0.1425834083,       0.835847446,       5.862164862
      0.1425833606,      0.8358475491,       5.862167546
      0.1425833077,      0.8358476353,       5.862170325
      0.1425832507,      0.8358477074,       5.862173177
      0.1425831903,      0.8358477676,        5.86217608
      0.1425831276,      0.8358478177,        5.86217901
      0.1425830633,      0.8358478593,       5.862181944
      0.1425829983,      0.8358478937,       5.862184859
      0.1425829332,      0.8358479217,       5.862187733
      0.1425828686,      0.8358479443,       5.862190544
      0.1425828053,      0.8358479619,       5.862193273
      0.1425827435,      0.8358479749,       5.862195904
      0.1425826838,      0.8358479837,       5.862198419
      0.1425826265,      0.8358479885,       5.862200808
       0.142582572,      0.8358479893,       5.862203058
      0.1425825202,      0.8358479862,       5.862205162
      0.1425824716,      0.8358479793,       5.862207115
       0.142582426,      0.8358479685,       5.862208913
      0.1425823836,      0.8358479541,       5.862210556
      0.1425823442,      0.8358479359,       5.862212045
       0.142582308,      0.8358479141,       5.862213385
      0.1425822746,      0.8358478888,       5.862214579
       0.142582244,      0.8358478602,       5.862215636
       0.142582216,      0.8358478284,       5.862216564
      0.1425821905,      0.8358477937,       5.862217371
      0.1425821671,      0.8358477563,       5.862218068
      0.1425821458,      0.8358477166,       5.862218666
      0.1425821263,      0.8358476749,       5.862219177
      0.1425821083,      0.8358476314,        5.86221961
      0.1425820918,      0.8358475867,       5.862219976
      0.1425820764,      0.8358475409,       5.862220288
       0.142582062,      0.8358474946,       5.862220555
      0.1425820484,       0.835847448,       5.862220785
      0.1425820356,      0.8358474016,        5.86222099
      0.1425820232,      0.8358473556,       5.862221175
      0.1425820113,      0.8358473105,       5.862221349
      0.1425819997,      0.8358472665,       5.862221516
      0.1425819884,      0.8358472239,       5.862221684
      0.1425819772,      0.8358471828,       5.862221854
      0.1425819662,      0.8358471437,       5.862222032
      0.1425819553,      0.8358471065,       5.862222218
      0.1425819446,      0.8358470714,       5.862222414
       0.142581934,      0.8358470386,       5.862222621
      0.1425819235,      0.8358470081,       5.862222838
      0.1425819131,      0.8358469799,       5.862223066
       0.142581903,      0.8358469539,       5.862223301
      0.1425818931,      0.8358469303,       5.862223543
      0.1425818834,      0.8358469088,       5.862223789
       0.142581874,      0.8358468894,       5.862224038
       0.142581865,      0.8358468721,       5.862224287
      0.1425818564,      0.8358468565,       5.862224532
      0.1425818482,      0.8358468427,       5.862224773
      0.1425818405,      0.8358468305,       5.862225006
      0.1425818332,      0.8358468197,       5.862225229
      0.1425818264,      0.8358468101,        5.86222544
      0.1425818202,      0.8358468016,       5.862225638
      0.1425818144,      0.8358467941,       5.862225821
      0.1425818092,      0.8358467874,       5.862225988
      0.1425818045,      0.8358467813,       5.862226138
      0.1425818003,      0.8358467757,       5.862226271
      0.1425817967,      0.8358467705,       5.862226386
      0.1425817935,      0.8358467657,       5.862226484
      0.1425817907,       0.835846761,       5.862226564
      0.1425817884,      0.8358467565,       5.862226629
      0.1425817864,       0.835846752,       5.862226678
      0.1425817848,      0.8358467476,       5.862226713
      0.1425817835,      0.8358467432,       5.862226734
      0.1425817825,      0.8358467387,       5.862226745
      0.1425817817,      0.8358467342,       5.862226745
      0.1425817812,      0.8358467296,       5.862226736
      0.1425817808,       0.835846725,        5.86222672
      0.1425817805,      0.8358467204,       5.862226699
      0.1425817803,      0.8358467157,       5.862226673
      0.1425817802,      0.8358467111,       5.862226645
      0.1425817802,      0.8358467065,       5.862226615
      0.1425817801,       0.835846702,       5.862226585
      0.1425817801,      0.8358466976,       5.862226555
      0.1425817801,      0.8358466933,       5.862226527
        0.14258178,      0.8358466892,       5.862226501
      0.1425817799,      0.8358466853,       5.862226479
      0.1425817797,      0.8358466816,       5.862226459
      0.1425817795,      0.8358466782,       5.862226444
      0.1425817792,       0.835846675,       5.862226433
      0.1425817789,      0.8358466721,       5.862226425
      0.1425817785,      0.8358466694,       5.862226422
