VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.2277495536,       0.279678173,       1.228007557
      0.1751619242,      0.2768360531,       1.580457935
      0.1702248611,      0.2934725378,       1.724028651
       0.166843942,      0.3055842975,       1.831557645
      0.1652800217,       0.312500199,       1.890731836
      0.1644630289,      0.3142931047,        1.91102588
      0.1642093282,      0.3146824851,       1.916349629
      0.1644417763,      0.3159479745,       1.921336424
      0.1650794828,      0.3185727966,       1.929814603
      0.1660356346,      0.3219875751,       1.939267892
      0.1671208647,      0.3252406383,       1.946140232
      0.1682190155,       0.327971503,       1.949669614
      0.1692532036,      0.3301851647,       1.950835539
      0.1702174686,       0.332096781,       1.951014685
      0.1711978848,      0.3343311204,       1.952892822
      0.1722014022,      0.3369734467,       1.956856578
      0.1731856566,      0.3396185235,       1.961008378
      0.1741756715,      0.3421248586,       1.964251698
       0.175140184,       0.344512527,        1.96706729
       0.176028298,        0.34661702,       1.969098287
      0.1768733743,      0.3484804314,       1.970225495
      0.1776298208,      0.3497727361,       1.969110449
      0.1783162447,      0.3506376076,       1.966380619
      0.1790182536,      0.3515944384,       1.964014458
       0.179693111,      0.3525653769,         1.9620417
      0.1803563983,      0.3535959121,       1.960539883
       0.181019776,      0.3547966241,       1.959988195
      0.1816688342,       0.356163965,       1.960512195
      0.1822576922,      0.3574085393,       1.961006611
      0.1827829787,      0.3584034577,       1.960814186
      0.1832566964,      0.3591574105,       1.959859681
      0.1836721425,      0.3595025762,       1.957305944
      0.1840158596,      0.3594113598,       1.953154258
      0.1843028997,      0.3590906195,       1.948372055
      0.1845726113,      0.3587488251,        1.94367313
      0.1848131387,      0.3584091173,       1.939305397
      0.1850085852,      0.3579951676,       1.935019217
       0.185206697,      0.3577289748,       1.931512092
      0.1854110594,      0.3576391807,       1.928898858
      0.1856301264,      0.3577548618,       1.927245694
      0.1858678655,      0.3580549985,       1.926395386
      0.1861156455,      0.3585221594,       1.926340789
      0.1863647533,      0.3590961246,       1.926845706
       0.186599711,      0.3596822466,       1.927560576
      0.1868163057,      0.3602302712,       1.928259259
      0.1870143553,      0.3607250658,       1.928862976
      0.1871956451,      0.3611772674,       1.929410629
      0.1873633772,      0.3616001607,       1.929940451
      0.1875190109,      0.3619939353,       1.930438592
      0.1876603236,      0.3623439154,       1.930849891
      0.1877878434,      0.3626454827,       1.931144616
      0.1879014057,      0.3628954735,       1.931307923
       0.187999067,      0.3630875619,       1.931326404
      0.1880803577,       0.363220422,        1.93119806
       0.188147168,      0.3633034901,       1.930953805
      0.1882007347,      0.3633392072,        1.93059399
      0.1882461455,      0.3633431967,       1.930149464
      0.1882826304,      0.3633150803,       1.929626113
      0.1883098777,      0.3632586925,       1.929047467
      0.1883307934,      0.3631845137,       1.928439355
      0.1883493001,      0.3631076725,         1.9278419
       0.188367533,       0.363040587,       1.927299154
      0.1883841813,      0.3629824721,       1.926820339
      0.1883990865,      0.3629321919,       1.926401017
      0.1884122027,      0.3628880804,        1.92603279
      0.1884246933,      0.3628519235,       1.925713224
      0.1884364452,      0.3628232368,        1.92544089
       0.188447445,      0.3628021773,       1.925216749
      0.1884582949,       0.362791412,       1.925048787
      0.1884688741,      0.3627899041,       1.924932728
      0.1884789346,      0.3627950289,       1.924857171
      0.1884883903,      0.3628051602,        1.92481436
      0.1884972275,      0.3628193633,       1.924799468
      0.1885053897,      0.3628363139,       1.924806047
      0.1885128173,      0.3628545626,       1.924827011
       0.188519479,      0.3628729169,       1.924856354
      0.1885253676,      0.3628905394,       1.924889706
      0.1885305043,      0.3629069182,       1.924924137
      0.1885349248,      0.3629217632,       1.924957743
      0.1885386798,      0.3629349502,       1.924989347
      0.1885418306,      0.3629464655,       1.925018254
      0.1885443838,      0.3629560625,       1.925043086
      0.1885464254,      0.3629639361,       1.925064001
      0.1885480601,      0.3629704692,       1.925081961
      0.1885493336,      0.3629758552,       1.925097524
       0.188550289,      0.3629802383,       1.925111016
      0.1885509827,      0.3629837855,       1.925122746
      0.1885514583,      0.3629866275,       1.925132962
      0.1885517454,      0.3629888511,       1.925141824
      0.1885518684,      0.3629905234,       1.925149437
      0.1885518491,      0.3629916997,       1.925155873
      0.1885517066,      0.3629924247,       1.925161174
      0.1885514573,      0.3629927359,       1.925165369
      0.1885511159,      0.3629926691,         1.9251685
      0.1885506965,       0.362992262,       1.925170624
      0.1885502119,      0.3629915529,        1.92517181
      0.1885496739,      0.3629905787,       1.925172137
      0.1885490931,      0.3629893749,       1.925171684
      0.1885484789,      0.3629879756,       1.925170533
      0.1885478403,      0.3629864148,       1.925168775
      0.1885471854,      0.3629847256,       1.925166503
      0.1885465217,      0.3629829398,       1.925163809
      0.1885458556,      0.3629810864,       1.925160779
      0.1885451929,      0.3629791911,       1.925157494
      0.1885445384,      0.3629772767,       1.925154023
      0.1885438961,      0.3629753629,       1.925150431
      0.1885432693,      0.3629734665,       1.925146773
      0.1885426609,      0.3629716019,       1.925143096
      0.1885420729,      0.3629697807,        1.92513944
       0.188541507,      0.3629680123,       1.925135839
      0.1885409645,      0.3629663043,        1.92513232
       0.188540446,      0.3629646623,       1.925128904
      0.1885399522,      0.3629630907,       1.925125611
      0.1885394832,      0.3629615924,       1.925122453
      0.1885390389,      0.3629601692,       1.925119441
      0.1885386191,       0.362958822,       1.925116582
      0.1885382234,      0.3629575508,        1.92511388
      0.1885378513,       0.362956355,       1.925111337
      0.1885375021,      0.3629552333,       1.925108953
      0.1885371751,      0.3629541842,       1.925106727
      0.1885368696,      0.3629532055,       1.925104656
      0.1885365847,      0.3629522952,       1.925102737
      0.1885363196,      0.3629514505,       1.925100964
      0.1885360733,      0.3629506688,       1.925099332
       0.188535845,      0.3629499474,       1.925097836
      0.1885356339,      0.3629492832,        1.92509647
      0.1885354389,      0.3629486734,       1.925095226
      0.1885352593,      0.3629481151,       1.925094099
      0.1885350941,      0.3629476052,       1.925093081
      0.1885349425,       0.362947141,       1.925092167
      0.1885348037,      0.3629467195,       1.925091349
      0.1885346768,      0.3629463381,       1.925090621
       0.188534561,       0.362945994,       1.925089978
      0.1885344557,      0.3629456847,       1.925089413
      0.1885343601,      0.3629454076,        1.92508892
      0.1885342734,      0.3629451605,       1.925088494
      0.1885341951,       0.362944941,       1.925088129
      0.1885341245,       0.362944747,       1.925087821
      0.1885340611,      0.3629445764,       1.925087564
