VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.2709457082,      0.1056508991,      0.3899338349
      0.2005785968,      0.1173086914,      0.5848514911
      0.1911489955,      0.1161408506,      0.6075933085
      0.1849388606,      0.1191766982,      0.6444113358
      0.1820043326,      0.1210956228,      0.6653447262
      0.1803235148,      0.1196509676,      0.6635350234
      0.1796201065,      0.1172112985,      0.6525511027
      0.1796915514,      0.1157876058,      0.6443686689
      0.1802424296,      0.1164002794,      0.6457984374
      0.1810397127,      0.1190751508,      0.6577294509
      0.1818663924,      0.1229229935,      0.6758972447
      0.1826875585,       0.127296814,      0.6968006744
      0.1835040875,      0.1316316722,      0.7173228343
      0.1843593187,      0.1357004068,      0.7360648094
      0.1852349812,      0.1393790549,      0.7524445652
      0.1861062068,       0.142903151,      0.7678580605
      0.1869649074,      0.1466614305,      0.7844329319
      0.1877917907,      0.1504073239,      0.8009259796
      0.1885453594,      0.1533216489,      0.8131817689
      0.1892107169,      0.1555353914,      0.8220221033
      0.1898272325,      0.1572003965,      0.8281235228
      0.1904331013,      0.1582786931,      0.8311511605
      0.1910165911,      0.1587433988,      0.8310450828
       0.191581132,      0.1589402576,       0.829623752
      0.1921272573,      0.1589011911,      0.8270621947
      0.1926636032,      0.1586821639,      0.8236229435
      0.1931765842,      0.1584693679,      0.8203342478
      0.1936597082,      0.1584715451,      0.8182989975
      0.1941426894,      0.1589624778,      0.8187919838
       0.194622462,      0.1598444369,      0.8213051834
      0.1950837556,      0.1609125793,      0.8248384333
      0.1955200076,      0.1620902518,      0.8290213043
      0.1959359447,      0.1633378702,      0.8336289211
       0.196330752,      0.1646476307,      0.8386237461
      0.1966898762,      0.1658516547,      0.8432139873
      0.1970486794,      0.1669981668,      0.8474970107
      0.1973944821,       0.168112464,      0.8516573627
      0.1977273626,      0.1692002451,      0.8557249888
      0.1980371813,      0.1701329923,       0.859096212
      0.1982975942,       0.170655723,      0.8606041018
      0.1985309628,      0.1708765509,      0.8607047913
      0.1987400369,      0.1709425553,      0.8601314455
      0.1989383941,      0.1710116158,      0.8596209727
      0.1991241883,      0.1710939651,      0.8592324547
       0.199300097,       0.171237383,      0.8591936761
      0.1994674424,      0.1714568588,      0.8595731551
       0.199625809,      0.1717204561,       0.860211698
