VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1668701675,      0.8165764299,        4.89348361
      0.1439183491,      0.9088289541,       6.314892854
      0.1419339899,       0.920568043,       6.485888573
        0.14011548,      0.9316719139,       6.649314653
      0.1389382774,      0.9360434827,       6.737117376
      0.1378835725,      0.9372016085,       6.797050521
      0.1374709373,      0.9385680456,       6.827392497
      0.1375104994,      0.9398691609,       6.834890175
       0.137851365,      0.9411693651,        6.82742144
      0.1383763886,      0.9425356857,       6.811390985
      0.1389752853,      0.9437440017,       6.790732611
      0.1395696879,      0.9446059052,       6.767987514
      0.1401330099,      0.9451590387,       6.744728024
      0.1406444594,      0.9453916101,       6.721854625
      0.1411286701,      0.9454461962,        6.69917881
      0.1416587571,      0.9456740171,       6.675718723
      0.1421858317,      0.9459875333,       6.653177196
      0.1427144326,      0.9463635255,       6.631169029
      0.1432066021,       0.946550429,       6.609684296
      0.1436613773,      0.9465862278,       6.589009832
       0.144085127,      0.9465294287,       6.569237565
      0.1444741336,      0.9463780327,       6.550501527
      0.1448312823,      0.9461284418,       6.532624906
      0.1452402921,      0.9461878368,       6.514637385
      0.1456177339,      0.9461914208,       6.497776032
      0.1459818645,      0.9462140115,        6.48172302
      0.1463146293,      0.9461846874,       6.466781154
      0.1465976652,      0.9460183573,       6.453161147
       0.146846875,      0.9457903985,       6.440657306
      0.1470782157,      0.9455603774,         6.4289628
      0.1472794439,      0.9452757182,        6.41824611
      0.1474516283,      0.9449302992,       6.408408709
      0.1476276194,      0.9446486611,       6.398861305
      0.1477959776,      0.9443551835,       6.389586501
      0.1479609497,      0.9440926628,       6.380688046
      0.1481098808,      0.9438155633,       6.372401074
      0.1482472672,      0.9435168348,       6.364480456
       0.148368551,      0.9431760741,       6.356981097
      0.1484809277,      0.9428432657,       6.349928439
       0.148577888,      0.9424957518,       6.343445614
      0.1486669729,      0.9421640428,       6.337413244
      0.1487488127,      0.9418443667,       6.331777372
      0.1488257572,      0.9415418572,       6.326471135
       0.148899725,       0.941260477,       6.321438652
      0.1489742694,      0.9410166557,       6.316638836
      0.1490504261,      0.9408133808,       6.312047577
      0.1491269995,      0.9406448346,       6.307676259
      0.1491996723,      0.9404922935,       6.303581496
      0.1492652352,      0.9403382436,       6.299780673
      0.1493284255,       0.940199972,       6.296188878
      0.1493895171,      0.9400753082,       6.292779615
      0.1494478442,      0.9399614175,       6.289561569
      0.1495032602,      0.9398576815,       6.286536363
      0.1495563238,      0.9397676365,       6.283703775
      0.1496069561,       0.939690911,       6.281064299
      0.1496547744,      0.9396246233,       6.278614412
      0.1496990739,      0.9395631533,       6.276345796
      0.1497409773,      0.9395099957,        6.27423443
      0.1497825654,      0.9394714087,       6.272234732
      0.1498211186,      0.9394373404,       6.270393314
      0.1498560965,      0.9394027725,       6.268699067
      0.1498929354,      0.9393909738,       6.267079708
      0.1499280349,      0.9393852822,       6.265574566
      0.1499560939,      0.9393601334,       6.264234478
      0.1499781688,      0.9393193164,       6.263040306
      0.1500001627,      0.9392887929,       6.261918496
      0.1500225764,      0.9392705547,       6.260861378
      0.1500449548,      0.9392622877,       6.259872507
      0.1500666949,       0.939260865,       6.258956162
      0.1500871882,      0.9392630399,       6.258116039
      0.1501057148,      0.9392643153,       6.257352136
      0.1501223051,      0.9392639686,       6.256658315
      0.1501372677,      0.9392624019,       6.256024347
      0.1501507615,      0.9392597573,       6.255444515
      0.1501627437,      0.9392557992,       6.254919004
      0.1501743265,      0.9392551551,       6.254432279
      0.1501841622,      0.9392516893,       6.253999595
       0.150192173,      0.9392446919,       6.253619433
      0.1501993079,      0.9392380744,       6.253278312
      0.1502057587,       0.939232109,        6.25297004
      0.1502115967,       0.939226821,       6.252691813
      0.1502168212,      0.9392219599,       6.252441987
       0.150221391,      0.9392170497,       6.252219099
      0.1502252789,      0.9392117004,       6.252021679
       0.150228517,      0.9392058155,       6.251847745
       0.150231194,      0.9391995995,       6.251694966
      0.1502334162,      0.9391933218,       6.251560709
      0.1502352704,      0.9391872175,       6.251442921
      0.1502368181,      0.9391814209,       6.251339938
      0.1502381034,      0.9391759787,        6.25125023
      0.1502391609,      0.9391708947,       6.251172389
      0.1502399816,      0.9391659383,       6.251105253
      0.1502407066,      0.9391617017,       6.251046891
      0.1502413106,      0.9391579698,       6.250996918
       0.150241726,      0.9391543065,       6.250955252
      0.1502419437,      0.9391505567,       6.250921238
      0.1502419989,      0.9391467858,       6.250893842
      0.1502419416,      0.9391431458,          6.250872
      0.1502418092,      0.9391397438,       6.250854865
      0.1502416273,      0.9391366394,        6.25084177
      0.1502414143,      0.9391338632,       6.250832152
      0.1502411807,      0.9391314113,       6.250825552
      0.1502409293,       0.939129248,       6.250821614
      0.1502406594,      0.9391273241,       6.250820035
      0.1502403699,      0.9391255904,       6.250820544
      0.1502400597,      0.9391240044,        6.25082289
      0.1502397294,      0.9391225332,       6.250826844
      0.1502393809,       0.939121157,        6.25083218
      0.1502390188,      0.9391198691,       6.250838675
      0.1502386486,      0.9391186723,        6.25084611
      0.1502382762,      0.9391175724,       6.250854284
      0.1502379064,      0.9391165735,       6.250863023
      0.1502375426,      0.9391156749,       6.250872177
      0.1502371868,      0.9391148709,       6.250881629
      0.1502368399,      0.9391141526,       6.250891279
      0.1502365023,      0.9391135091,       6.250901045
      0.1502361739,      0.9391129304,       6.250910856
       0.150235855,      0.9391124082,        6.25092065
      0.1502355459,      0.9391119364,        6.25093037
      0.1502352472,      0.9391115109,       6.250939964
      0.1502349597,      0.9391111291,       6.250949388
      0.1502346838,      0.9391107887,       6.250958602
      0.1502344199,      0.9391104876,       6.250967576
      0.1502341682,      0.9391102229,       6.250976286
      0.1502339287,      0.9391099916,       6.250984714
      0.1502337009,        0.93910979,       6.250992848
      0.1502334847,      0.9391096146,       6.251000679
      0.1502332794,       0.939109462,       6.251008202
      0.1502330849,      0.9391093292,       6.251015415
      0.1502329005,       0.939109214,       6.251022316
      0.1502327262,      0.9391091142,       6.251028907
      0.1502325615,      0.9391090284,       6.251035189
      0.1502324061,      0.9391089553,       6.251041167
      0.1502322598,      0.9391088938,       6.251046844
      0.1502321223,      0.9391088426,       6.251052228
       0.150231993,      0.9391088006,       6.251057326
      0.1502318718,      0.9391087668,       6.251062146
