VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1798359027,      0.6478319271,       3.602350351
      0.1488453657,      0.7412196711,        4.97979677
      0.1447687835,      0.7548124684,       5.213917323
      0.1419192659,      0.7651334526,       5.391328991
      0.1410130089,      0.7722638318,       5.476543178
      0.1407615635,      0.7768859678,       5.519162678
      0.1407119912,      0.7784291333,       5.532073894
      0.1407643865,      0.7782016873,       5.528398954
      0.1410649737,      0.7785936267,       5.519397241
      0.1416223071,      0.7802157483,       5.509130336
        0.14237177,      0.7827821356,       5.498155536
      0.1432391284,       0.785787857,         5.4858464
      0.1441574692,      0.7887919943,        5.47173864
      0.1451072836,      0.7916626966,       5.455706129
      0.1460312813,      0.7941572425,       5.438267989
      0.1469408458,      0.7963546767,       5.419559637
      0.1477801745,      0.7981058087,       5.400628408
      0.1486082074,      0.7998575531,       5.382324213
      0.1493933489,      0.8015886034,       5.365624435
      0.1501626189,       0.803238241,       5.349122484
      0.1509408514,       0.804921595,       5.332695475
      0.1517191618,      0.8066016542,       5.316412538
      0.1524707525,      0.8080804824,        5.29990486
      0.1531133715,      0.8090127769,       5.283750001
      0.1536590532,      0.8095635485,       5.268570458
      0.1541824774,      0.8101390313,       5.254417008
      0.1547913329,      0.8112477703,       5.240912104
      0.1555166367,      0.8130113289,        5.22780936
      0.1562503291,      0.8149207406,       5.215481756
      0.1568691363,      0.8163137229,       5.203787962
      0.1573924483,       0.817137092,       5.191717271
      0.1578613569,      0.8177984789,       5.180485553
      0.1582497701,      0.8182375104,       5.170544701
      0.1586011384,      0.8185582087,       5.161111812
      0.1589427478,      0.8188453438,       5.151825769
      0.1592954652,       0.819261772,        5.14303261
      0.1596646197,      0.8199143112,       5.135228535
      0.1600282879,      0.8206822407,       5.128357314
      0.1603803947,      0.8214530513,       5.121904414
      0.1606965106,      0.8220437852,       5.115504887
      0.1609685018,      0.8223711768,       5.108895017
      0.1611769876,       0.822438878,       5.102706596
      0.1613585569,      0.8224490212,       5.097027621
      0.1615482753,      0.8226120694,       5.092051078
      0.1617331027,      0.8228529789,       5.087721469
      0.1619293329,      0.8232537294,       5.084030883
      0.1621143968,      0.8236828982,       5.080874459
      0.1622673576,       0.823991629,       5.077987596
      0.1623829609,       0.824140494,        5.07528924
      0.1624682328,      0.8241669146,       5.072788078
      0.1625376872,      0.8241252747,       5.070364228
      0.1625888299,      0.8240259618,       5.068158509
      0.1626230117,      0.8238883437,        5.06624699
      0.1626579276,      0.8237775205,       5.064478151
      0.1626972682,      0.8237179487,       5.062887397
      0.1627435862,      0.8237204555,       5.061461867
      0.1627916262,       0.823751514,       5.060159011
      0.1628375654,       0.823788883,       5.058960941
      0.1628799573,      0.8238241837,          5.057861
      0.1629169215,      0.8238464319,       5.056849985
      0.1629497002,      0.8238588112,       5.055908727
       0.162978943,      0.8238678498,       5.055057018
      0.1630045919,      0.8238735802,       5.054296758
      0.1630276786,      0.8238798887,       5.053619702
      0.1630489218,      0.8238883914,       5.053013429
      0.1630686585,      0.8238985714,       5.052464275
      0.1630868657,      0.8239088408,       5.051963182
      0.1631035652,      0.8239188625,       5.051507375
      0.1631187304,      0.8239275458,       5.051090969
      0.1631324195,      0.8239352389,        5.05071427
      0.1631448864,      0.8239430237,        5.05037603
       0.163156303,      0.8239513113,       5.050073434
      0.1631668488,      0.8239607077,       5.049804626
      0.1631766027,      0.8239712085,       5.049567124
      0.1631855313,       0.823982044,       5.049357239
      0.1631936047,      0.8239925002,       5.049171513
      0.1632008447,      0.8240022222,       5.049007092
      0.1632072718,      0.8240110619,       5.048862424
      0.1632128858,      0.8240189136,       5.048736868
       0.163217862,      0.8240262863,        5.04862811
      0.1632223084,      0.8240334461,       5.048534445
      0.1632262865,      0.8240404483,       5.048454303
      0.1632298337,      0.8240472323,       5.048386154
      0.1632329836,      0.8240537288,       5.048328533
      0.1632357655,       0.824059888,       5.048280231
      0.1632382108,      0.8240657056,       5.048240246
      0.1632403558,      0.8240712261,        5.04820773
      0.1632422357,      0.8240765056,       5.048181937
      0.1632438807,      0.8240815827,       5.048162166
      0.1632453168,      0.8240864744,       5.048147725
       0.163246566,      0.8240911828,       5.048137936
      0.1632476478,      0.8240957022,       5.048132169
      0.1632485795,      0.8241000275,       5.048129853
      0.1632493775,      0.8241041591,       5.048130484
      0.1632500576,      0.8241081036,       5.048133617
      0.1632506343,      0.8241118717,       5.048138865
      0.1632511212,      0.8241154729,       5.048145867
      0.1632515301,      0.8241189131,       5.048154296
      0.1632518711,      0.8241221948,       5.048163855
       0.163252153,      0.8241253188,       5.048174274
      0.1632523835,      0.8241282859,        5.04818532
      0.1632525696,      0.8241310981,       5.048196791
      0.1632527175,      0.8241337587,       5.048208516
      0.1632528327,      0.8241362724,       5.048220352
      0.1632529201,      0.8241386441,       5.048232176
      0.1632529841,      0.8241408785,       5.048243886
      0.1632530282,      0.8241429803,       5.048255394
      0.1632530557,      0.8241449539,       5.048266632
      0.1632530694,      0.8241468039,       5.048277544
      0.1632530714,      0.8241485353,       5.048288085
      0.1632530639,       0.824150153,       5.048298226
      0.1632530486,      0.8241516624,       5.048307945
       0.163253027,       0.824153069,        5.04831723
      0.1632530002,      0.8241543779,       5.048326076
      0.1632529693,      0.8241555945,       5.048334484
      0.1632529351,      0.8241567238,        5.04834246
      0.1632528983,      0.8241577711,       5.048350013
      0.1632528595,      0.8241587412,       5.048357156
      0.1632528191,      0.8241596391,       5.048363904
      0.1632527776,      0.8241604698,       5.048370275
      0.1632527353,       0.824161238,       5.048376287
      0.1632526926,      0.8241619484,        5.04838196
      0.1632526497,      0.8241626054,       5.048387313
      0.1632526067,      0.8241632133,       5.048392365
       0.163252564,      0.8241637762,       5.048397134
      0.1632525216,      0.8241642978,       5.048401639
      0.1632524798,      0.8241647819,       5.048405897
      0.1632524387,      0.8241652318,       5.048409924
      0.1632523985,      0.8241656507,       5.048413734
      0.1632523593,      0.8241660417,       5.048417342
      0.1632523212,      0.8241664075,       5.048420761
      0.1632522844,      0.8241667506,       5.048424001
       0.163252249,      0.8241670734,       5.048427073
      0.1632522151,      0.8241673779,       5.048429986
      0.1632521828,       0.824167666,       5.048432749
      0.1632521523,      0.8241679394,       5.048435368
      0.1632521236,      0.8241681997,       5.048437849
      0.1632520968,       0.824168448,       5.048440199
       0.163252072,      0.8241686856,       5.048442422
      0.1632520492,      0.8241689133,       5.048444522
      0.1632520284,       0.824169132,       5.048446504
      0.1632520097,      0.8241693423,        5.04844837
      0.1632519931,      0.8241695448,       5.048450124
      0.1632519786,      0.8241697399,       5.048451768
      0.1632519661,       0.824169928,       5.048453307
      0.1632519556,      0.8241701092,       5.048454741
       0.163251947,      0.8241702837,       5.048456075
      0.1632519403,      0.8241704517,       5.048457311
      0.1632519354,      0.8241706133,       5.048458452
      0.1632519322,      0.8241707685,       5.048459502
      0.1632519306,      0.8241709172,       5.048460463
      0.1632519305,      0.8241710595,       5.048461338
      0.1632519317,      0.8241711954,       5.048462132
      0.1632519342,      0.8241713249,       5.048462849
      0.1632519378,      0.8241714479,       5.048463491
      0.1632519424,      0.8241715646,       5.048464063
      0.1632519479,      0.8241716748,        5.04846457
      0.1632519541,      0.8241717786,       5.048465015
      0.1632519609,      0.8241718762,       5.048465402
      0.1632519682,      0.8241719676,       5.048465736
      0.1632519758,      0.8241720529,       5.048466022
      0.1632519838,      0.8241721323,       5.048466263
      0.1632519919,      0.8241722059,       5.048466463
          0.163252,       0.824172274,       5.048466628
      0.1632520082,      0.8241723367,        5.04846676
      0.1632520162,      0.8241723942,       5.048466864
      0.1632520241,      0.8241724469,       5.048466943
      0.1632520317,       0.824172495,       5.048467001
      0.1632520391,      0.8241725388,       5.048467041
      0.1632520461,      0.8241725785,       5.048467067
      0.1632520528,      0.8241726145,        5.04846708
      0.1632520591,       0.824172647,       5.048467085
       0.163252065,      0.8241726763,       5.048467082
      0.1632520705,      0.8241727027,       5.048467075
      0.1632520755,      0.8241727266,       5.048467065
      0.1632520802,      0.8241727481,       5.048467053
      0.1632520844,      0.8241727675,       5.048467041
      0.1632520882,      0.8241727852,       5.048467031
      0.1632520917,      0.8241728012,       5.048467022
      0.1632520948,      0.8241728159,       5.048467016
      0.1632520976,      0.8241728295,       5.048467014
         0.1632521,      0.8241728421,       5.048467014
      0.1632521022,      0.8241728539,       5.048467019
      0.1632521042,       0.824172865,       5.048467027
      0.1632521059,      0.8241728756,       5.048467039
      0.1632521074,      0.8241728858,       5.048467054
      0.1632521088,      0.8241728957,       5.048467072
        0.16325211,      0.8241729053,       5.048467092
      0.1632521112,      0.8241729147,       5.048467115
      0.1632521122,       0.824172924,        5.04846714
      0.1632521132,      0.8241729331,       5.048467166
      0.1632521141,      0.8241729422,       5.048467193
       0.163252115,      0.8241729512,        5.04846722
      0.1632521159,      0.8241729601,       5.048467248
      0.1632521167,      0.8241729688,       5.048467275
      0.1632521176,      0.8241729775,       5.048467301
      0.1632521185,      0.8241729861,       5.048467325
      0.1632521194,      0.8241729945,       5.048467348
      0.1632521204,      0.8241730027,       5.048467369
      0.1632521214,      0.8241730107,       5.048467388
      0.1632521224,      0.8241730184,       5.048467404
      0.1632521234,      0.8241730259,       5.048467418
      0.1632521245,      0.8241730331,       5.048467429
      0.1632521255,        0.82417304,       5.048467438
      0.1632521267,      0.8241730465,       5.048467444
      0.1632521278,      0.8241730526,       5.048467447
      0.1632521289,      0.8241730584,       5.048467447
        0.16325213,      0.8241730637,       5.048467445
      0.1632521311,      0.8241730687,       5.048467441
      0.1632521322,      0.8241730732,       5.048467434
      0.1632521333,      0.8241730773,       5.048467426
      0.1632521344,       0.824173081,       5.048467416
      0.1632521354,      0.8241730843,       5.048467405
