VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.2349051507,      0.4666976235,       1.986749214
      0.1911102072,      0.5112911753,       2.675373455
      0.1848126594,       0.517085432,       2.797889677
      0.1803768722,      0.5204911705,       2.885575984
      0.1778658008,      0.5215375722,       2.932197027
      0.1764643094,      0.5211553289,        2.95331861
      0.1759520629,      0.5220435019,       2.966964373
      0.1761994445,      0.5247660811,       2.978250486
      0.1769461419,      0.5284520272,       2.986513419
      0.1779393093,      0.5322037253,       2.990928353
      0.1790125572,      0.5356238822,       2.992102289
      0.1801341896,       0.538879202,       2.991543155
      0.1812981391,      0.5421607385,       2.990437415
      0.1824988498,      0.5455463491,       2.989313903
      0.1836488537,      0.5487316731,       2.987939549
      0.1846386266,      0.5511652673,       2.985102724
      0.1855624329,      0.5531474862,       2.980923874
      0.1864753075,      0.5551199294,       2.976908507
      0.1874386191,      0.5573788767,       2.973660814
      0.1885344551,      0.5603442754,       2.972105417
      0.1896257319,       0.563491939,       2.971600601
      0.1906874626,      0.5666533921,       2.971634236
       0.191611813,      0.5693772103,       2.971514132
       0.192442348,      0.5715969704,       2.970224466
      0.1932149267,      0.5733993654,       2.967676334
      0.1938972108,       0.574665113,       2.963761627
      0.1945337422,      0.5754961751,       2.958336012
      0.1951442074,      0.5761448535,       2.952405614
      0.1957941098,      0.5772852557,       2.948430145
      0.1964762665,      0.5788759198,        2.94628929
      0.1972411889,      0.5810314313,       2.945791569
      0.1980475846,       0.583536355,       2.946445199
      0.1988508588,      0.5861051366,       2.947460927
       0.199664758,      0.5887431242,       2.948658191
      0.2004308646,      0.5911845539,       2.949568446
      0.2011680978,      0.5935266776,         2.9504016
      0.2018506555,      0.5956406518,       2.950897783
      0.2024594231,      0.5974724797,       2.951072717
      0.2030109079,       0.599140769,       2.951273777
       0.203576291,      0.6009540957,       2.951984698
      0.2041206973,      0.6027548855,       2.952933698
      0.2045802094,      0.6042078363,       2.953403156
      0.2050041638,      0.6054909702,       2.953554498
       0.205392684,      0.6066274832,        2.95350093
      0.2057091635,      0.6074813815,       2.953108024
      0.2060321262,      0.6083663432,       2.952774184
      0.2063820225,      0.6094750215,       2.953140075
      0.2067310311,      0.6106570027,       2.953871993
      0.2070259389,      0.6116062022,       2.954249141
      0.2072742435,      0.6122972585,       2.954044112
      0.2074978216,      0.6128524143,       2.953536618
      0.2076933949,       0.613291925,       2.952871589
      0.2078725391,      0.6136268692,       2.951938105
      0.2080368932,      0.6138341384,       2.950602313
      0.2081633386,       0.613836922,       2.948823392
      0.2082692559,       0.613736199,       2.946840119
      0.2083767274,      0.6136879343,       2.945088648
      0.2084909064,      0.6137434802,       2.943742204
      0.2086012746,      0.6138465161,       2.942678645
      0.2086965228,      0.6139253637,       2.941713429
      0.2087748416,      0.6139499091,       2.940727457
      0.2088400512,      0.6139307615,       2.939717539
      0.2088951129,      0.6138889166,       2.938742357
      0.2089455472,      0.6138526652,       2.937859521
      0.2089929954,      0.6138350477,       2.937108234
      0.2090380592,      0.6138407444,       2.936502313
      0.2090810463,      0.6138667579,       2.936022986
      0.2091212052,      0.6139041622,       2.935638026
      0.2091583185,      0.6139465951,       2.935319998
         0.2091931,      0.6139929632,        2.93505361
      0.2092267025,      0.6140470238,       2.934840613
      0.2092579161,       0.614101764,       2.934664434
      0.2092862556,      0.6141534899,       2.934514204
      0.2093116138,       0.614202847,       2.934394493
      0.2093344431,      0.6142510542,       2.934304767
      0.2093545745,      0.6142946542,       2.934230866
      0.2093724126,      0.6143329546,       2.934163804
      0.2093875757,      0.6143621807,       2.934090902
       0.209400311,      0.6143826158,       2.934010044
      0.2094109158,      0.6143959208,       2.933924998
