VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1729476479,      0.1397518031,      0.8080584199
      0.1100510263,      0.1282202737,       1.165098392
      0.1016909612,      0.1120730428,       1.102094439
     0.09711783939,       0.109481989,       1.127310798
      0.0952180195,      0.1105611086,       1.161136403
     0.09434219378,      0.1111832165,       1.178509975
     0.09404824576,      0.1124355344,       1.195509108
      0.0940596358,      0.1136717325,       1.208507045
     0.09424220922,      0.1141739924,       1.211495289
     0.09452297908,      0.1144617662,       1.210941163
     0.09486745827,       0.115279979,       1.215168837
     0.09524342072,      0.1168171693,       1.226511694
      0.0956236936,      0.1189245112,       1.243672009
     0.09599508177,      0.1213779222,       1.264418135
     0.09636092454,      0.1239843677,        1.28666644
     0.09671647978,      0.1265443189,       1.308404929
     0.09705677066,      0.1288843159,       1.327927099
     0.09736839369,       0.130781213,       1.343158782
     0.09767121908,      0.1323819203,       1.355383106
     0.09796972101,      0.1336790135,       1.364493152
     0.09824794477,      0.1346733279,       1.370749569
     0.09850692618,      0.1355171676,       1.375712073
     0.09875488341,      0.1362910947,       1.380094735
     0.09899258336,      0.1370538022,        1.38448556
     0.09922877206,      0.1380187273,       1.390914393
      0.0994592337,      0.1392318709,       1.399888836
     0.09968342146,      0.1405804172,        1.41026878
     0.09990255276,      0.1419528081,       1.420912722
      0.1001114745,      0.1432692158,        1.43109685
      0.1003032097,      0.1445260943,        1.44089202
      0.1004833705,      0.1457386491,       1.450375802
      0.1006505337,      0.1467719138,       1.458232843
      0.1008072565,      0.1475457197,       1.463641852
      0.1009417135,      0.1479927725,       1.466121064
      0.1010698651,       0.148255175,       1.466858344
      0.1011921819,      0.1483942142,        1.46645928
      0.1013009571,       0.148417308,       1.465112593
      0.1013940965,      0.1483013887,       1.462623505
      0.1014753895,      0.1480492078,       1.458966638
       0.101550019,      0.1477412779,        1.45486214
      0.1016202431,      0.1474654625,       1.451142587
      0.1016872969,      0.1472795779,       1.448357685
      0.1017524581,      0.1471987639,       1.446635949
      0.1018165745,      0.1472076645,       1.445812387
      0.1018777594,      0.1472884986,       1.445737514
      0.1019349808,      0.1474367634,       1.446380451
      0.1019882024,      0.1476235901,       1.447457516
       0.102036964,      0.1478205617,       1.448696197
      0.1020812631,      0.1480090026,       1.449913511
      0.1021212312,      0.1481750343,       1.450971876
      0.1021573481,       0.148308348,        1.45176388
      0.1021898333,      0.1484014119,       1.452213074
      0.1022189788,      0.1484550769,       1.452324008
      0.1022450127,      0.1484763224,       1.452162003
      0.1022686163,      0.1484749957,       1.451813872
      0.1022899613,      0.1484554653,       1.451319986
      0.1023091601,      0.1484223464,       1.450723925
      0.1023263449,      0.1483795223,       1.450061785
      0.1023417279,      0.1483299585,       1.449359528
      0.1023553968,      0.1482751419,       1.448630424
      0.1023675518,      0.1482131367,       1.447852705
         0.1023783,      0.1481429283,       1.447014928
      0.1023877713,      0.1480646503,       1.446116548
      0.1023960256,      0.1479790698,       1.445164194
      0.1024031585,      0.1478872063,       1.444166454
      0.1024092738,      0.1477905504,       1.443136397
