VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1575450603,      0.5721573063,       3.631705782
      0.1194925643,       0.653373545,        5.46790128
      0.1129820802,      0.6524859499,       5.775127781
      0.1088523006,      0.6518205312,       5.988119014
      0.1072314219,      0.6548347971,       6.106743579
      0.1064889452,      0.6566320796,       6.166199491
      0.1060665384,       0.656730414,       6.191683296
      0.1060185106,      0.6567597311,       6.194764738
      0.1062710624,      0.6572582061,       6.184733562
      0.1067873295,      0.6587618689,       6.168914157
      0.1075441624,      0.6615596509,       6.151516143
      0.1084277541,      0.6652023591,       6.134982366
      0.1093843794,      0.6694096473,       6.119791974
      0.1103911932,      0.6740371861,        6.10589637
       0.111397325,      0.6786720412,        6.09235492
      0.1123660108,      0.6829262243,       6.077693951
      0.1132837854,      0.6866016871,       6.060899932
       0.114051045,      0.6891889232,       6.042811122
      0.1146629737,       0.690537202,        6.02232072
      0.1152325938,      0.6915669814,       6.001487586
      0.1158864365,      0.6930157049,       5.980127839
      0.1164673411,      0.6939633259,       5.958437099
      0.1170278675,      0.6947733278,       5.936819516
      0.1176704465,      0.6961506111,       5.916104101
      0.1183799988,      0.6980699984,       5.896857623
      0.1190873831,      0.7000328146,        5.87831218
        0.11972088,       0.701594537,        5.86025209
      0.1202931018,       0.702882757,       5.843084486
      0.1208485287,      0.7041361681,       5.826601083
      0.1213774485,      0.7052007942,       5.809982024
      0.1218112763,      0.7057761196,        5.79401301
      0.1221865223,      0.7060858761,       5.778754177
          0.122502,      0.7061191401,       5.764143771
      0.1228248139,      0.7061900276,       5.749571322
      0.1231546538,      0.7063421161,        5.73540743
      0.1234736453,       0.706532991,       5.722136003
      0.1237895878,      0.7068334035,       5.709958455
      0.1241256799,      0.7073605054,       5.698744256
      0.1244696617,      0.7080422842,       5.688472792
      0.1248137685,      0.7088680324,       5.679405731
      0.1251599081,      0.7099280586,       5.672168263
       0.125501457,      0.7110400336,       5.665591861
      0.1258299225,      0.7120924232,       5.659166031
      0.1261408525,      0.7130565863,       5.652860055
      0.1264059259,      0.7137631522,       5.646595656
      0.1266306857,      0.7142073802,       5.640081442
      0.1268158287,      0.7144518674,       5.633775175
      0.1269827554,      0.7145966885,       5.627509708
      0.1271211387,      0.7146358718,       5.621691869
      0.1272263863,      0.7145305558,       5.616213557
      0.1273075759,      0.7143474026,       5.611193187
      0.1273801465,       0.714168747,       5.606593858
      0.1274434947,      0.7139773841,       5.602305445
      0.1274983732,      0.7137629907,       5.598212532
      0.1275501967,      0.7135537428,       5.594297469
      0.1276068929,      0.7134067631,       5.590660086
      0.1276642213,      0.7132978425,       5.587296387
      0.1277184362,      0.7132000356,        5.58415885
      0.1277689388,      0.7131165568,       5.581298268
      0.1278196843,      0.7130677003,       5.578700216
      0.1278736577,      0.7130665047,       5.576336184
      0.1279284863,      0.7131017894,       5.574222051
      0.1279822299,      0.7131626825,        5.57235706
      0.1280319954,       0.713228203,       5.570702859
      0.1280751741,      0.7132780319,       5.569213838
      0.1281121761,      0.7133077208,       5.567837049
      0.1281435483,      0.7133168916,       5.566545497
      0.1281697275,      0.7133059454,       5.565323102
      0.1281904768,       0.713274639,       5.564178063
      0.1282071007,      0.7132301973,        5.56310995
      0.1282213082,      0.7131833988,       5.562128546
      0.1282347217,      0.7131441824,       5.561240925
      0.1282481886,      0.7131173191,       5.560447495
      0.1282616667,      0.7131018694,       5.559742733
      0.1282748075,      0.7130947498,       5.559117677
      0.1282871992,       0.713092343,       5.558561939
      0.1282983957,       0.713090511,        5.55806257
      0.1283082293,      0.7130875082,       5.557613195
      0.1283168629,      0.7130838307,       5.557210601
      0.1283245852,      0.7130806404,       5.556851318
      0.1283316373,      0.7130791474,       5.556534325
      0.1283378194,       0.713078117,       5.556258634
      0.1283431124,       0.713076455,       5.556016537
       0.128347598,      0.7130738755,       5.555802265
      0.1283513532,      0.7130704908,       5.555613348
      0.1283544424,        0.71306638,       5.555447609
      0.1283569379,      0.7130616294,       5.555302588
      0.1283589155,      0.7130563715,       5.555176036
      0.1283604472,      0.7130507577,       5.555066014
      0.1283616025,      0.7130449563,        5.55497082
      0.1283624476,      0.7130391461,       5.554888983
      0.1283630395,      0.7130334799,       5.554819227
      0.1283634241,      0.7130280681,       5.554760423
      0.1283636394,        0.71302299,       5.554711548
      0.1283637172,      0.7130183019,       5.554671659
      0.1283636832,      0.7130140291,       5.554639843
      0.1283635557,      0.7130101557,       5.554615187
      0.1283633471,      0.7130066377,       5.554596805
      0.1283630661,      0.7130034079,       5.554583802
      0.1283627163,      0.7130003821,       5.554575369
      0.1283623026,      0.7129974946,       5.554570773
      0.1283618323,      0.7129947044,       5.554569387
      0.1283613142,      0.7129919935,       5.554570691
       0.128360758,       0.712989362,       5.554574257
      0.1283601738,      0.7129868195,       5.554579728
      0.1283595709,      0.7129843776,       5.554586797
      0.1283589569,      0.7129820444,       5.554595191
      0.1283583379,      0.7129798216,        5.55460466
      0.1283577185,      0.7129777057,        5.55461498
      0.1283571022,      0.7129756906,       5.554625948
      0.1283564922,      0.7129737707,       5.554637387
      0.1283558913,      0.7129719422,       5.554649146
      0.1283553022,       0.712970204,       5.554661097
      0.1283547275,      0.7129685564,       5.554673131
      0.1283541695,      0.7129669999,       5.554685156
      0.1283536297,      0.7129655337,       5.554697093
      0.1283531093,      0.7129641548,       5.554708869
       0.128352609,      0.7129628586,       5.554720424
      0.1283521288,      0.7129616392,       5.554731703
      0.1283516688,      0.7129604904,       5.554742664
      0.1283512286,       0.712959407,        5.55475327
      0.1283508083,      0.7129583848,       5.554763496
      0.1283504077,      0.7129574211,       5.554773327
      0.1283500266,      0.7129565141,       5.554782751
       0.128349665,      0.7129556623,       5.554791765
      0.1283493226,      0.7129548644,       5.554800368
       0.128348999,      0.7129541185,       5.554808563
      0.1283486936,      0.7129534224,       5.554816355
      0.1283484059,      0.7129527733,       5.554823748
      0.1283481352,      0.7129521685,       5.554830751
      0.1283478808,      0.7129516052,       5.554837373
       0.128347642,      0.7129510809,       5.554843624
      0.1283474181,      0.7129505935,       5.554849516
      0.1283472085,      0.7129501411,       5.554855063
      0.1283470126,      0.7129497221,       5.554860277
      0.1283468298,      0.7129493346,       5.554865172
      0.1283466593,       0.712948977,       5.554869763
      0.1283465007,      0.7129486475,       5.554874063
      0.1283463531,      0.7129483444,       5.554878085
      0.1283462161,      0.7129480657,       5.554881844
       0.128346089,      0.7129478097,       5.554885352
      0.1283459712,       0.712947575,       5.554888622
      0.1283458621,      0.7129473599,       5.554891668
      0.1283457612,      0.7129471633,       5.554894501
      0.1283456681,      0.7129469838,       5.554897135
      0.1283455822,      0.7129468204,        5.55489958
       0.128345503,       0.712946672,       5.554901848
      0.1283454302,      0.7129465375,       5.554903951
      0.1283453634,      0.7129464159,       5.554905897
       0.128345302,      0.7129463061,       5.554907698
      0.1283452458,      0.7129462073,       5.554909362
      0.1283451943,      0.7129461184,       5.554910899
      0.1283451472,      0.7129460388,       5.554912316
      0.1283451042,      0.7129459677,       5.554913622
       0.128345065,      0.7129459044,       5.554914825
      0.1283450293,      0.7129458482,       5.554915931
      0.1283449969,      0.7129457987,       5.554916948
      0.1283449675,      0.7129457552,       5.554917882
      0.1283449409,      0.7129457171,       5.554918738
      0.1283449168,      0.7129456841,       5.554919523
