VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.2597715704,       0.690899644,        2.65964302
      0.2108067806,      0.7522004532,       3.568198571
      0.2062053323,      0.7701821093,       3.735025185
      0.2032465244,      0.7837014921,       3.855915836
       0.202492322,      0.7941178589,       3.921718369
      0.2023639314,      0.8012455753,       3.959428786
      0.2026052567,      0.8060661768,       3.978505739
      0.2032290879,      0.8098314964,       3.984820798
      0.2041628708,      0.8132834116,       3.983503017
       0.205294972,      0.8164148474,       3.976789298
      0.2064720966,      0.8190058787,       3.966666161
      0.2075599647,      0.8207508099,       3.954282856
      0.2085450638,      0.8215272399,       3.939327189
      0.2093683769,      0.8212606989,       3.922563239
      0.2102001957,       0.820615996,       3.903973511
      0.2111275951,      0.8201643093,       3.884685509
      0.2121466649,      0.8201956932,       3.866172931
      0.2132071071,      0.8205794165,       3.848743261
      0.2142555494,      0.8208979633,       3.831396507
      0.2154159974,      0.8217684622,       3.814797751
      0.2165128026,      0.8223836518,       3.798314196
      0.2176488434,      0.8232134575,        3.78230109
      0.2187585775,      0.8241212369,       3.767263649
      0.2196696815,      0.8242621286,       3.752279892
      0.2202331652,      0.8229099351,       3.736539563
       0.220747292,      0.8212668305,       3.720393682
      0.2214160014,      0.8203897055,       3.705196103
       0.222170297,      0.8201195738,       3.691400627
      0.2227851014,      0.8194918155,       3.678395953
      0.2233333695,      0.8185830829,       3.665296792
      0.2240598026,      0.8185254623,       3.653156223
      0.2248250704,      0.8188157188,       3.642012509
      0.2255642993,      0.8191617507,       3.631610824
      0.2262461681,       0.819481057,       3.622077067
      0.2268882097,      0.8198861647,       3.613612915
      0.2274209264,      0.8200227915,       3.605749059
      0.2278317874,      0.8196472438,       3.597598268
      0.2281729438,      0.8189528348,       3.589175917
      0.2284737673,      0.8181706692,       3.581026737
      0.2287879169,      0.8176005581,       3.573617738
      0.2291301883,       0.817341177,       3.567147494
       0.229450818,       0.817182399,       3.561470846
      0.2297199206,      0.8168799054,       3.555982012
      0.2299418424,      0.8163903996,       3.550421233
      0.2301243827,      0.8157935551,       3.545011379
      0.2302872344,      0.8152129643,       3.539983302
      0.2304199059,      0.8146245295,       3.535391295
      0.2305613426,         0.8141542,       3.531182595
      0.2307049196,      0.8137873935,        3.52739506
      0.2308391759,      0.8134665387,       3.523953574
      0.2309735475,      0.8132182575,       3.520828537
      0.2311096536,      0.8130606383,       3.518073025
      0.2312457701,      0.8129741125,       3.515628036
       0.231374677,      0.8129328386,       3.513490971
       0.231500075,      0.8129290245,       3.511571323
      0.2316164151,      0.8129225177,       3.509779379
      0.2317195809,      0.8128897068,       3.508075164
      0.2318043961,      0.8128093467,       3.506444919
       0.231880364,      0.8127230795,       3.504924114
      0.2319520656,       0.812651104,        3.50353036
      0.2320189932,      0.8125832523,       3.502227301
      0.2320805092,      0.8125167381,        3.50101239
      0.2321368674,      0.8124508966,       3.499878782
      0.2321903127,      0.8124001942,       3.498854818
      0.2322415899,      0.8123692342,       3.497948988
      0.2322901772,      0.8123522651,       3.497144283
       0.232336791,      0.8123491918,       3.496429422
      0.2323825668,      0.8123621007,       3.495796229
      0.2324268286,      0.8123889744,       3.495246135
       0.232469428,      0.8124287459,       3.494776723
       0.232510336,      0.8124792617,       3.494379113
      0.2325493923,      0.8125367721,       3.494039542
      0.2325860942,      0.8125968627,       3.493746544
      0.2326201819,        0.81265675,       3.493492023
      0.2326514267,      0.8127144286,        3.49327077
      0.2326797986,      0.8127687177,       3.493078139
      0.2327052301,      0.8128182935,       3.492909434
      0.2327278451,      0.8128631036,       3.492762558
      0.2327476124,      0.8129022768,       3.492634225
      0.2327647223,      0.8129355429,       3.492520408
      0.2327795479,      0.8129640354,       3.492420373
      0.2327927754,      0.8129902071,       3.492334355
      0.2328048553,      0.8130156524,       3.492262441
      0.2328159616,      0.8130407766,        3.49220376
      0.2328261924,      0.8130655858,       3.492156863
      0.2328355321,      0.8130899152,       3.492121275
       0.232844149,      0.8131138943,       3.492095025
      0.2328521446,      0.8131375996,       3.492076919
      0.2328595673,        0.81316112,        3.49206661
      0.2328664673,      0.8131845123,       3.492063592
      0.2328728835,      0.8132077615,       3.492067213
      0.2328788519,      0.8132307827,       3.492076572
      0.2328843761,      0.8132533872,       3.492090801
      0.2328894558,      0.8132753653,       3.492109002
      0.2328940952,      0.8132965224,       3.492130282
      0.2328983033,      0.8133167095,       3.492153863
       0.232902098,      0.8133358419,       3.492179112
      0.2329055186,      0.8133539703,        3.49220566
      0.2329086306,      0.8133712468,       3.492233177
       0.232911461,      0.8133877226,       3.492261476
      0.2329140278,      0.8134034017,       3.492290307
      0.2329163505,      0.8134182789,       3.492319354
      0.2329184494,      0.8134323606,       3.492348342
      0.2329203438,      0.8134456673,       3.492377067
      0.2329220503,      0.8134582203,       3.492405374
      0.2329235842,      0.8134700421,        3.49243313
      0.2329249606,      0.8134811613,       3.492460229
      0.2329261949,      0.8134916121,        3.49248659
      0.2329273012,      0.8135014301,       3.492512152
      0.2329282927,      0.8135106486,       3.492536862
      0.2329291792,      0.8135192904,       3.492560672
      0.2329299698,      0.8135273784,        3.49258354
      0.2329306732,      0.8135349365,       3.492605442
      0.2329312971,      0.8135419892,       3.492626363
      0.2329318495,       0.813548563,       3.492646304
      0.2329323378,      0.8135546872,       3.492665273
      0.2329327695,      0.8135603919,       3.492683291
      0.2329331514,      0.8135657064,        3.49270038
      0.2329334894,      0.8135706573,       3.492716566
      0.2329337888,      0.8135752687,       3.492731875
      0.2329340539,      0.8135795631,       3.492746335
       0.232934289,      0.8135835615,       3.492759975
      0.2329344976,      0.8135872837,       3.492772827
       0.232934683,       0.813590749,       3.492784923
      0.2329348482,      0.8135939753,       3.492796297
      0.2329349959,      0.8135969798,        3.49280698
      0.2329351284,       0.813599778,       3.492817006
      0.2329352478,      0.8136023845,       3.492826407
      0.2329353557,      0.8136048125,       3.492835212
      0.2329354537,       0.813607074,       3.492843451
       0.232935543,      0.8136091801,       3.492851154
      0.2329356247,      0.8136111413,       3.492858348
      0.2329356998,      0.8136129672,       3.492865061
      0.2329357691,      0.8136146671,       3.492871319
      0.2329358334,      0.8136162494,       3.492877147
      0.2329358934,      0.8136177222,       3.492882571
      0.2329359495,      0.8136190929,       3.492887614
      0.2329360023,      0.8136203683,       3.492892298
      0.2329360521,      0.8136215549,       3.492896645
      0.2329360993,      0.8136226585,       3.492900675
      0.2329361442,      0.8136236849,       3.492904408
      0.2329361869,      0.8136246391,       3.492907864
      0.2329362278,       0.813625526,       3.492911059
      0.2329362669,      0.8136263501,        3.49291401
      0.2329363044,      0.8136271158,       3.492916734
      0.2329363405,      0.8136278268,       3.492919246
      0.2329363752,      0.8136284871,        3.49292156
      0.2329364087,      0.8136290999,       3.492923689
       0.232936441,      0.8136296685,       3.492925646
      0.2329364721,      0.8136301959,       3.492927444
      0.2329365021,       0.813630685,       3.492929093
      0.2329365311,      0.8136311382,       3.492930605
       0.232936559,      0.8136315582,       3.492931988
       0.232936586,      0.8136319472,       3.492933254
       0.232936612,      0.8136323073,       3.492934409
      0.2329366371,      0.8136326406,       3.492935464
      0.2329366613,       0.813632949,       3.492936425
      0.2329366846,      0.8136332341,         3.4929373
      0.2329367071,      0.8136334978,       3.492938095
      0.2329367287,      0.8136337413,       3.492938816
      0.2329367495,      0.8136339663,        3.49293947
      0.2329367695,      0.8136341741,       3.492940062
      0.2329367887,      0.8136343658,       3.492940598
      0.2329368071,      0.8136345427,       3.492941081
      0.2329368248,      0.8136347058,       3.492941516
      0.2329368417,      0.8136348562,       3.492941907
       0.232936858,      0.8136349948,       3.492942259
      0.2329368735,      0.8136351224,       3.492942574
      0.2329368884,        0.81363524,       3.492942855
      0.2329369026,      0.8136353482,       3.492943107
      0.2329369161,      0.8136354477,       3.492943331
      0.2329369291,      0.8136355393,       3.492943529
      0.2329369415,      0.8136356234,       3.492943706
      0.2329369532,      0.8136357008,       3.492943861
      0.2329369644,      0.8136357719,       3.492943998
      0.2329369751,      0.8136358372,       3.492944118
      0.2329369853,      0.8136358972,       3.492944224
      0.2329369949,      0.8136359522,       3.492944315
      0.2329370041,      0.8136360028,       3.492944395
      0.2329370128,      0.8136360491,       3.492944463
       0.232937021,      0.8136360917,       3.492944522
      0.2329370289,      0.8136361307,       3.492944572
      0.2329370363,      0.8136361664,       3.492944615
      0.2329370433,      0.8136361992,        3.49294465
      0.2329370499,      0.8136362293,        3.49294468
      0.2329370562,      0.8136362569,       3.492944704
      0.2329370622,      0.8136362821,       3.492944723
