VARIABLES = \
       "CD"       ,       "CL"       ,      "CEff"      
      0.1671864786,      0.6334598358,       3.788941792
      0.1183872957,       0.694438594,        5.86582023
      0.1123709189,      0.6913192666,        6.15211901
      0.1080982317,       0.690356989,       6.386385588
      0.1057333565,      0.6893119694,       6.519342546
      0.1045581367,      0.6898243652,       6.597519688
      0.1040538051,      0.6913717949,        6.64436821
      0.1039598134,      0.6935849737,       6.671664279
      0.1041831226,      0.6965441541,       6.685767679
      0.1045853751,      0.6997321269,       6.690535134
      0.1050837251,      0.7028371331,       6.688353813
      0.1056997718,      0.7061703328,       6.680906881
       0.106442838,      0.7100078806,        6.67032084
      0.1072606855,      0.7141978127,       6.658523663
       0.108086961,      0.7184549541,       6.647008553
      0.1088943569,      0.7226470978,       6.636221735
      0.1096393863,      0.7263715642,       6.625096953
      0.1103144983,      0.7295431545,       6.613302562
      0.1109714691,      0.7324024023,       6.599916249
      0.1116503288,      0.7352965698,       6.585708953
      0.1123013391,       0.738123038,       6.572700237
      0.1129673194,      0.7410692623,       6.560032283
      0.1136973231,      0.7443929366,        6.54714567
      0.1144569362,      0.7478425094,       6.533833024
        0.11512831,      0.7507135476,       6.520668526
      0.1156655058,      0.7526698066,       6.507297068
      0.1161406258,      0.7541326147,       6.493271492
      0.1166164052,      0.7555720526,       6.479123165
      0.1171035593,       0.757127096,       6.465449051
      0.1175801211,      0.7587282126,       6.452861296
      0.1180533094,      0.7603797208,       6.440986067
      0.1185414191,      0.7620876353,        6.42887221
      0.1190231037,      0.7637639721,         6.4169388
      0.1194941585,      0.7653673626,       6.405060901
      0.1199132763,      0.7666900448,       6.393704422
      0.1203242815,      0.7679994058,       6.382746662
      0.1207086986,      0.7692807992,       6.373035318
      0.1210691513,      0.7705079758,       6.364197382
      0.1214270875,      0.7717349644,        6.35554208
       0.121771868,      0.7729049216,       6.347155007
      0.1221040631,      0.7740571773,       6.339323669
      0.1224104771,      0.7751376531,       6.332281938
      0.1227119306,      0.7762241559,       6.325580178
      0.1229752373,      0.7771251046,       6.319362511
      0.1231970605,       0.777789903,       6.313380365
      0.1233839128,      0.7782571986,       6.307606726
       0.123561236,      0.7787209919,       6.302308209
      0.1237437672,      0.7792632424,       6.297393883
       0.123911372,      0.7797634025,       6.292912343
      0.1240615273,       0.780198421,        6.28880232
      0.1241969045,      0.7805764163,       6.284990913
      0.1243175935,      0.7808898212,        6.28141037
      0.1244273777,      0.7811535767,       6.277987943
      0.1245282287,      0.7813839614,       6.274753682
      0.1246157268,      0.7815596806,       6.271757991
      0.1246945987,      0.7817082942,       6.268982796
      0.1247663756,      0.7818471938,       6.266489587
      0.1248318971,      0.7819796649,       6.264261646
      0.1248913617,       0.782099412,       6.262237846
       0.124944711,      0.7821997043,       6.260366669
      0.1249926453,      0.7822842249,       6.258642042
      0.1250368612,      0.7823601402,       6.257035985
      0.1250791762,      0.7824370354,       6.255533968
      0.1251191051,      0.7825097725,       6.254119002
      0.1251552511,      0.7825665044,       6.252766042
      0.1251871495,      0.7826037465,       6.251470297
       0.125215847,       0.782629062,       6.250239733
       0.125241922,      0.7826456912,       6.249071228
      0.1252654648,      0.7826541017,         6.2479639
       0.125285893,      0.7826524837,       6.246932238
      0.1253045171,      0.7826490704,       6.245976512
      0.1253220862,      0.7826483797,       6.245095367
      0.1253386378,      0.7826509274,       6.244290998
      0.1253543035,      0.7826572812,       6.243561326
      0.1253692501,      0.7826675953,       6.242899234
      0.1253834536,        0.78268067,       6.242296313
      0.1253967649,      0.7826946785,       6.241745385
      0.1254091203,      0.7827085036,       6.241240682
      0.1254205475,         0.7827215,        6.24077566
      0.1254309952,      0.7827327783,       6.240345755
      0.1254405566,      0.7827422465,       6.239945581
      0.1254492776,      0.7827500148,       6.239573713
      0.1254571923,      0.7827562451,       6.239229736
      0.1254643917,      0.7827614988,       6.238913594
      0.1254709391,      0.7827660629,       6.238624407
      0.1254768628,      0.7827699653,       6.238360983
      0.1254821944,      0.7827732306,       6.238121946
      0.1254869861,      0.7827759527,       6.237905436
      0.1254912703,      0.7827781164,       6.237709721
       0.125495087,      0.7827797329,       6.237532892
      0.1254984649,      0.7827807555,       6.237373153
       0.125501461,      0.7827813191,       6.237228737
        0.12550412,      0.7827815289,       6.237098262
      0.1255064664,      0.7827814097,       6.236980709
      0.1255085332,       0.782781045,       6.236875094
      0.1255103503,      0.7827805064,       6.236780507
      0.1255119391,      0.7827798105,       6.236696018
      0.1255133349,      0.7827790821,       6.236620855
      0.1255145711,       0.782778446,       6.236554364
      0.1255156574,      0.7827778704,         6.2364958
      0.1255165995,      0.7827772937,       6.236444397
      0.1255174058,      0.7827766755,       6.236399408
      0.1255180842,      0.7827759757,        6.23636013
      0.1255186446,       0.782775181,       6.236325952
      0.1255190997,      0.7827743025,       6.236296345
      0.1255194603,      0.7827733494,       6.236270835
      0.1255197362,      0.7827723287,       6.236248996
      0.1255199375,      0.7827712573,       6.236230459
      0.1255200749,       0.782770161,       6.236214898
      0.1255201579,       0.782769061,       6.236202009
      0.1255201939,       0.782767967,       6.236191504
      0.1255201887,      0.7827668807,       6.236183109
      0.1255201472,       0.782765802,       6.236176576
      0.1255200743,      0.7827647332,       6.236171682
      0.1255199747,      0.7827636782,        6.23616823
      0.1255198525,      0.7827626413,        6.23616604
      0.1255197116,      0.7827616263,       6.236164951
      0.1255195556,      0.7827606367,       6.236164819
      0.1255193876,      0.7827596763,       6.236165516
      0.1255192104,      0.7827587486,       6.236166927
      0.1255190267,      0.7827578567,        6.23616895
      0.1255188384,      0.7827570023,       6.236171494
      0.1255186475,      0.7827561861,       6.236174476
      0.1255184554,      0.7827554076,       6.236177822
      0.1255182631,      0.7827546656,       6.236181462
      0.1255180717,      0.7827539585,       6.236185336
      0.1255178821,      0.7827532845,        6.23618939
      0.1255176949,      0.7827526422,       6.236193574
      0.1255175107,      0.7827520301,       6.236197848
      0.1255173301,      0.7827514471,       6.236202175
      0.1255171536,      0.7827508924,       6.236206523
      0.1255169817,       0.782750365,       6.236210867
      0.1255168145,       0.782749864,       6.236215182
      0.1255166524,      0.7827493887,       6.236219449
      0.1255164956,       0.782748938,        6.23622365
      0.1255163442,      0.7827485112,       6.236227771
      0.1255161983,      0.7827481072,         6.2362318
       0.125516058,      0.7827477251,       6.236235727
      0.1255159233,       0.782747364,       6.236239544
      0.1255157941,      0.7827470231,       6.236243245
      0.1255156705,      0.7827467014,       6.236246825
      0.1255155523,      0.7827463981,        6.23625028
      0.1255154395,      0.7827461124,       6.236253609
      0.1255153319,      0.7827458436,        6.23625681
      0.1255152296,      0.7827455908,       6.236259883
      0.1255151322,      0.7827453534,       6.236262829
      0.1255150397,      0.7827451307,       6.236265649
       0.125514952,      0.7827449218,       6.236268345
